DATE,"PPI EU(index(2020=100), not seasonally adjusted)"
2000-01-01,100
2000-02-01,118.18182
2000-03-01,127.1046
2000-04-01,117.55981
2000-05-01,135.64593
2000-06-01,149.01445
2000-07-01,143.74332
2000-08-01,138.88823
2000-09-01,156.19835
2000-10-01,160.24494
2000-11-01,150.95137
2000-12-01,119.41032
2001-01-01,110.423
2001-02-01,101.06952
2001-03-01,91.9282
2001-04-01,96.18321
2001-05-01,86.99655
2001-06-01,73.57454
2001-07-01,43.11623
2001-08-01,34.44976
2001-09-01,8.53755
2001-10-01,-21.26463
2001-11-01,-34.0234
2001-12-01,-25.6445
2002-01-01,-12.83822
2002-02-01,-21.34387
2002-03-01,-8.52696
2002-04-01,0
2002-05-01,-8.48485
2002-06-01,-16.94877
2002-07-01,0
2002-08-01,12.79044
2002-09-01,17.03278
2002-10-01,38.51466
2002-11-01,38.65909
2002-12-01,55.98086
2003-01-01,64.43182
2003-02-01,81.61364
2003-03-01,76.93351
2003-04-01,34.0234
2003-05-01,17.0117
2003-06-01,21.29098
2003-07-01,25.54917
2003-08-01,21.23834
2003-09-01,12.71158
2003-10-01,12.69592
2003-11-01,29.73368
2003-12-01,16.94877
2004-01-01,12.64919
2004-02-01,4.1958
2004-03-01,16.72196
2004-04-01,67.37968
2004-05-01,114.26332
2004-06-01,114.26332
2004-07-01,126.80309
2004-08-01,139.31204
2004-09-01,147.75519
2004-10-01,172.87228
2004-11-01,160.02674
2004-12-01,151.7903
2005-01-01,147.03267
2005-02-01,146.67406
2005-03-01,145.60863
2005-04-01,132.16783
2005-05-01,94.20306
2005-06-01,110.5862
2005-07-01,105.98512
2005-08-01,105.4846
2005-09-01,113.33119
2005-10-01,92.3322
2005-11-01,84.50075
2005-12-01,96.91272
2006-01-01,112.79974
2006-02-01,116.55502
2006-03-01,107.76053
2006-04-01,123.29545
2006-05-01,147.50053
2006-06-01,138.88306
2006-07-01,150.26676
2006-08-01,137.76945
2006-09-01,97.95791
2006-10-01,86.00683
2006-11-01,98.18182
2006-12-01,98.18182
2007-01-01,81.91105
2007-02-01,81.63307
2007-03-01,89.00491
2007-04-01,84.46927
2007-05-01,87.91587
2007-06-01,91.53466
2007-07-01,79.56299
2007-08-01,79.47537
2007-09-01,118.10119
2007-10-01,141.11593
2007-11-01,175.63636
2007-12-01,179.45455
2008-01-01,190.48579
2008-02-01,197.44852
2008-03-01,203.69225
2008-04-01,206.10687
2008-05-01,234.80576
2008-06-01,256.33415
2008-07-01,270.3174
2008-08-01,240.43448
2008-09-01,213.62175
2008-10-01,139.21303
2008-11-01,36.3252
2008-12-01,-32.65815
2009-01-01,-79.41176
2009-02-01,-104.13223
2009-03-01,-149.56194
2009-04-01,-169.69697
2009-05-01,-209.32164
2009-06-01,-221.2548
2009-07-01,-254.03687
2009-08-01,-214.34059
2009-09-01,-211.52188
2009-10-01,-158.4389
2009-11-01,-82.67402
2009-12-01,-18.3175
2010-01-01,36.95015
2010-02-01,48.13871
2010-03-01,89.3529
2010-04-01,119.00826
2010-05-01,130.02457
2010-06-01,118.24047
2010-07-01,129.74404
2010-08-01,117.98673
2010-09-01,136.71554
2010-10-01,143.95079
2010-11-01,147.32534
2010-12-01,176.79041
2011-01-01,190.09671
2011-02-01,219.10926
2011-03-01,232.23577
2011-04-01,222.8604
2011-05-01,204.03409
2011-06-01,196.4657
2011-07-01,207.18201
2011-08-01,192.4934
2011-09-01,191.89621
2011-10-01,180.67479
2011-11-01,176.586
2011-12-01,140.11676
2012-01-01,117.77859
2012-02-01,102.98792
2012-03-01,88.37335
2012-04-01,70.88766
2012-05-01,57.44167
2012-06-01,40.54706
2012-07-01,37.05882
2012-08-01,70.88766
2012-09-01,74.04505
2012-10-01,70.67937
2012-11-01,53.74567
2012-12-01,50.48526
2013-01-01,43.54067
2013-02-01,39.99647
2013-03-01,13.25502
2013-04-01,-13.2295
2013-05-01,0
2013-06-01,13.35807
2013-07-01,16.6652
2013-08-01,-6.61475
2013-09-01,-19.76815
2013-10-01,-32.97854
2013-11-01,-26.45901
2013-12-01,-13.26781
2014-01-01,-26.45901
2014-02-01,-39.5363
2014-03-01,-39.61226
2014-04-01,-16.60079
2014-05-01,-13.29348
2014-06-01,-3.32659
2014-07-01,-16.58477
2014-08-01,-23.19628
2014-09-01,-29.82379
2014-10-01,-33.2981
2014-11-01,-46.66255
2014-12-01,-89.90486
2015-01-01,-123.32246
2015-02-01,-99.99118
2015-03-01,-76.80891
2015-04-01,-70.06178
2015-05-01,-60.05296
2015-06-01,-69.926
2015-07-01,-76.65991
2015-08-01,-103.42454
2015-09-01,-110.31128
2015-10-01,-100.87173
2015-11-01,-91.23089
2015-12-01,-75.22388
2016-01-01,-62.22791
2016-02-01,-96.12206
2016-03-01,-99.06018
2016-04-01,-102.17137
2016-05-01,-88.28602
2016-06-01,-67.9795
2016-07-01,-57.95455
2016-08-01,-30.95823
2016-09-01,-10.3609
2016-10-01,24.24853
2016-11-01,31.23967
2016-12-01,87.3948
2017-01-01,140.83458
2017-02-01,162.45912
2017-03-01,144.20769
2017-04-01,147.42316
2017-05-01,115.01014
2017-06-01,86.68929
2017-07-01,86.68929
2017-08-01,104.13223
2017-09-01,110.85044
2017-10-01,96.3145
2017-11-01,106.63391
2017-12-01,78.40909
2018-01-01,71.0272
2018-02-01,53.95664
2018-03-01,64.13645
2018-04-01,70.67937
2018-05-01,104.54099
2018-06-01,125.14316
2018-07-01,128.52541
2018-08-01,121.28342
2018-09-01,117.45384
2018-10-01,123.80278
2018-11-01,96.75199
2018-12-01,59.99471
2019-01-01,39.76506
2019-02-01,59.76285
2019-03-01,62.96134
2019-04-01,62.65922
2019-05-01,45.81818
2019-06-01,16.31702
2019-07-01,19.56184
2019-08-01,3.25413
2019-09-01,0
2019-10-01,-19.37799
2019-11-01,-6.48983
2019-12-01,32.75847
2020-01-01,42.58601
