DATE,"CPI total(index(2009=100), seasonally adjusted)"
2000-01-01,78.82117
2000-02-01,79.14707
2000-03-01,79.61264
2000-04-01,79.56609
2000-05-01,79.70576
2000-06-01,80.17133
2000-07-01,80.40412
2000-08-01,80.40412
2000-09-01,80.82313
2000-10-01,80.9628
2000-11-01,81.10247
2000-12-01,81.2887
2001-01-01,81.75427
2001-02-01,81.9405
2001-03-01,81.98706
2001-04-01,82.12673
2001-05-01,82.54574
2001-06-01,82.73197
2001-07-01,82.5923
2001-08-01,82.5923
2001-09-01,82.9182
2001-10-01,82.68541
2001-11-01,82.63886
2001-12-01,82.5923
2002-01-01,82.73197
2002-02-01,82.87164
2002-03-01,83.10443
2002-04-01,83.47688
2002-05-01,83.57
2002-06-01,83.61656
2002-07-01,83.80278
2002-08-01,84.03557
2002-09-01,84.17524
2002-10-01,84.36147
2002-11-01,84.50114
2002-12-01,84.64081
2003-01-01,85.01327
2003-02-01,85.47884
2003-03-01,85.61851
2003-04-01,85.29261
2003-05-01,85.15294
2003-06-01,85.24605
2003-07-01,85.5254
2003-08-01,85.89785
2003-09-01,86.1772
2003-10-01,86.08408
2003-11-01,86.13064
2003-12-01,86.36342
2004-01-01,86.73588
2004-02-01,86.92211
2004-03-01,87.10834
2004-04-01,87.24801
2004-05-01,87.62047
2004-06-01,87.94637
2004-07-01,88.03948
2004-08-01,88.08604
2004-09-01,88.36538
2004-10-01,88.83095
2004-11-01,89.24997
2004-12-01,89.24997
2005-01-01,89.20341
2005-02-01,89.57586
2005-03-01,89.90176
2005-04-01,90.18111
2005-05-01,90.13455
2005-06-01,90.18111
2005-07-01,90.73979
2005-08-01,91.29848
2005-09-01,92.55552
2005-10-01,92.69519
2005-11-01,92.22962
2005-12-01,92.22962
2006-01-01,92.7883
2006-02-01,92.83486
2006-03-01,92.97453
2006-04-01,93.4401
2006-05-01,93.71945
2006-06-01,93.95223
2006-07-01,94.46436
2006-08-01,94.88337
2006-09-01,94.4178
2006-10-01,93.99879
2006-11-01,94.04535
2006-12-01,94.55747
2007-01-01,94.71437
2007-02-01,95.08171
2007-03-01,95.57614
2007-04-01,95.86294
2007-05-01,96.25914
2007-06-01,96.48215
2007-07-01,96.65394
2007-08-01,96.68374
2007-09-01,97.09344
2007-10-01,97.3928
2007-11-01,98.1582
2007-12-01,98.44266
2008-01-01,98.78207
2008-02-01,99.0209
2008-03-01,99.3752
2008-04-01,99.6052
2008-05-01,100.19461
2008-06-01,101.24447
2008-07-01,101.9675
2008-08-01,101.81573
2008-09-01,101.90279
2008-10-01,101.02658
2008-11-01,99.23786
2008-12-01,98.42078
2009-01-01,98.66986
2009-02-01,99.02928
2009-03-01,98.93151
2009-04-01,99.03115
2009-05-01,99.17687
2009-06-01,100
2009-07-01,99.9702
2009-08-01,100.30495
2009-09-01,100.49863
2009-10-01,100.80032
2009-11-01,101.13786
2009-12-01,101.19047
2010-01-01,101.25611
2010-02-01,101.15974
2010-03-01,101.19326
2010-04-01,101.21654
2010-05-01,101.16393
2010-06-01,101.12156
2010-07-01,101.31058
2010-08-01,101.45863
2010-09-01,101.62252
2010-10-01,101.97635
2010-11-01,102.23474
2010-12-01,102.64537
2011-01-01,102.97826
2011-02-01,103.30928
2011-03-01,103.84375
2011-04-01,104.33121
2011-05-01,104.66316
2011-06-01,104.66316
2011-07-01,104.93738
2011-08-01,105.2684
2011-09-01,105.497
2011-10-01,105.56823
2011-11-01,105.7633
2011-12-01,105.78844
2012-01-01,106.07663
2012-02-01,106.30337
2012-03-01,106.52591
2012-04-01,106.70283
2012-05-01,106.48215
2012-06-01,106.39415
2012-07-01,106.42488
2012-08-01,107.04316
2012-09-01,107.55389
2012-10-01,107.84394
2012-11-01,107.66283
2012-12-01,107.6498
2013-01-01,107.86303
2013-02-01,108.44872
2013-03-01,108.14377
2013-04-01,107.91797
2013-05-01,107.96266
2013-06-01,108.21966
2013-07-01,108.43149
2013-08-01,108.69035
2013-09-01,108.73132
2013-10-01,108.78952
2013-11-01,108.99018
2013-12-01,109.27836
2014-01-01,109.54327
2014-02-01,109.66386
2014-03-01,109.8878
2014-04-01,110.09265
2014-05-01,110.30216
2014-06-01,110.44788
2014-07-01,110.57219
2014-08-01,110.5545
2014-09-01,110.56241
2014-10-01,110.54053
2014-11-01,110.33242
2014-12-01,109.99209
2015-01-01,109.2914
2015-02-01,109.56842
2015-03-01,109.86359
2015-04-01,109.97812
2015-05-01,110.3408
2015-06-01,110.64621
2015-07-01,110.82173
2015-08-01,110.82127
2015-09-01,110.57219
2015-10-01,110.6816
2015-11-01,110.81382
2015-12-01,110.69463
2016-01-01,110.72536
2016-02-01,110.57964
2016-03-01,110.80125
2016-04-01,111.19466
2016-05-01,111.47633
2016-06-01,111.80409
2016-07-01,111.78872
2016-08-01,112.01406
2016-09-01,112.23428
2016-10-01,112.50105
2016-11-01,112.66493
2016-12-01,112.99967
2017-01-01,113.46757
2017-02-01,113.61237
2017-03-01,113.46944
2017-04-01,113.62633
2017-05-01,113.56488
2017-06-01,113.68267
2017-07-01,113.75204
2017-08-01,114.20643
2017-09-01,114.73765
2017-10-01,114.79585
2017-11-01,115.15108
2017-12-01,115.39038
2018-01-01,115.84152
2018-02-01,116.14833
2018-03-01,116.11947
2018-04-01,116.37274
2018-05-01,116.69072
2018-06-01,116.94027
2018-07-01,117.08273
2018-08-01,117.27967
2018-09-01,117.44541
2018-10-01,117.68565
2018-11-01,117.63211
2018-12-01,117.62792
2019-01-01,117.57996
2019-02-01,117.87374
2019-03-01,118.29927
2019-04-01,118.69407
2019-05-01,118.79836
2019-06-01,118.90777
2019-07-01,119.22669
2019-08-01,119.32306
2019-09-01,119.46227
2019-10-01,119.75837
2019-11-01,120.03538
2019-12-01,120.32404
2020-01-01,120.49909
2020-02-01,120.60617
