DATE,"PPI final commodity(index(1982=100), not seasonally adjusted, energy goods)"
2000-01-01,86.4
2000-02-01,90.3
2000-03-01,93.1
2000-04-01,90.3
2000-05-01,89.3
2000-06-01,94.8
2000-07-01,94.6
2000-08-01,93.6
2000-09-01,97.3
2000-10-01,98.6
2000-11-01,100.7
2000-12-01,101.5
2001-01-01,104.8
2001-02-01,105.2
2001-03-01,100.2
2001-04-01,102.2
2001-05-01,102.8
2001-06-01,100.4
2001-07-01,93.1
2001-08-01,94.5
2001-09-01,96.1
2001-10-01,89.1
2001-11-01,86.9
2001-12-01,84.1
2002-01-01,82.9
2002-02-01,82.9
2002-03-01,85.8
2002-04-01,88.4
2002-05-01,87.4
2002-06-01,87.7
2002-07-01,88.5
2002-08-01,89.5
2002-09-01,91.1
2002-10-01,93.7
2002-11-01,93.7
2002-12-01,94.2
2003-01-01,97.4
2003-02-01,103.8
2003-03-01,107.2
2003-04-01,100.2
2003-05-01,98.3
2003-06-01,101.2
2003-07-01,101.6
2003-08-01,103.5
2003-09-01,103.2
2003-10-01,102.2
2003-11-01,102.2
2003-12-01,104.4
2004-01-01,108.7
2004-02-01,108.3
2004-03-01,107.1
2004-04-01,108.6
2004-05-01,111.3
2004-06-01,110.1
2004-07-01,112.8
2004-08-01,113.4
2004-09-01,112.9
2004-10-01,120
2004-11-01,123.2
2004-12-01,118.9
2005-01-01,119
2005-02-01,121.7
2005-03-01,124.4
2005-04-01,125.4
2005-05-01,123.3
2005-06-01,125
2005-07-01,129.5
2005-08-01,135.1
2005-09-01,144
2005-10-01,151.9
2005-11-01,143.5
2005-12-01,146.4
2006-01-01,148.9
2006-02-01,142.4
2006-03-01,144
2006-04-01,148.6
2006-05-01,148.8
2006-06-01,150.4
2006-07-01,150.7
2006-08-01,152.4
2006-09-01,142
2006-10-01,137.1
2006-11-01,139.6
2006-12-01,142.4
2007-01-01,139.9
2007-02-01,143.2
2007-03-01,147.8
2007-04-01,152.1
2007-05-01,155.2
2007-06-01,155.1
2007-07-01,158.5
2007-08-01,152.5
2007-09-01,158.1
2007-10-01,161.5
2007-11-01,174.1
2007-12-01,169.1
2008-01-01,172.3
2008-02-01,173.5
2008-03-01,177.5
2008-04-01,178
2008-05-01,186.6
2008-06-01,196.8
2008-07-01,203.4
2008-08-01,194.4
2008-09-01,196
2008-10-01,170.7
2008-11-01,147.2
2008-12-01,133.6
2009-01-01,139.6
2009-02-01,140.3
2009-03-01,133.7
2009-04-01,135.6
2009-05-01,138.9
2009-06-01,149.9
2009-07-01,144.2
2009-08-01,153.3
2009-09-01,152.3
2009-10-01,154.1
2009-11-01,161.5
2009-12-01,161.7
2010-01-01,167.8
2010-02-01,161.9
2010-03-01,162.7
2010-04-01,163.2
2010-05-01,162.3
2010-06-01,163
2010-07-01,162.4
2010-08-01,166.5
2010-09-01,167
2010-10-01,172.7
2010-11-01,174.8
2010-12-01,179.2
2011-01-01,182.2
2011-02-01,184.4
2011-03-01,189.5
2011-04-01,195.1
2011-05-01,200.1
2011-06-01,195.4
2011-07-01,195.7
2011-08-01,192
2011-09-01,196.6
2011-10-01,194.4
2011-11-01,194.8
2011-12-01,193.6
2012-01-01,194.1
2012-02-01,195.8
2012-03-01,195
2012-04-01,194.4
2012-05-01,188.9
2012-06-01,184.7
2012-07-01,183.5
2012-08-01,191.5
2012-09-01,198.4
2012-10-01,198.7
2012-11-01,192.3
2012-12-01,190.9
2013-01-01,193.2
2013-02-01,198.9
2013-03-01,192.3
2013-04-01,188.3
2013-05-01,190.6
2013-06-01,190.7
2013-07-01,189.7
2013-08-01,192.3
2013-09-01,190.8
2013-10-01,191.4
2013-11-01,192.3
2013-12-01,193.7
2014-01-01,196.7
2014-02-01,197.3
2014-03-01,197.9
2014-04-01,198
2014-05-01,195.9
2014-06-01,196.4
2014-07-01,194.2
2014-08-01,193.6
2014-09-01,190.5
2014-10-01,185.2
2014-11-01,182.3
2014-12-01,170.5
2015-01-01,155.6
2015-02-01,157.4
2015-03-01,160.6
2015-04-01,156.3
2015-05-01,163.5
2015-06-01,165.1
2015-07-01,164.7
2015-08-01,161.1
2015-09-01,151.5
2015-10-01,150.9
2015-11-01,151.3
2015-12-01,146.7
2016-01-01,142
2016-02-01,136.2
2016-03-01,139.5
2016-04-01,140.9
2016-05-01,144.4
2016-06-01,148.5
2016-07-01,147.9
2016-08-01,146.6
2016-09-01,148.7
2016-10-01,153
2016-11-01,151.2
2016-12-01,156
2017-01-01,160.4
2017-02-01,161.1
2017-03-01,159.2
2017-04-01,158.4
2017-05-01,153.9
2017-06-01,153.8
2017-07-01,153.5
2017-08-01,157.8
2017-09-01,163.7
2017-10-01,162.5
2017-11-01,168.4
2017-12-01,169.1
2018-01-01,171.4
2018-02-01,173.3
2018-03-01,170.7
2018-04-01,169.5
2018-05-01,174.1
2018-06-01,176.7
2018-07-01,176
2018-08-01,176.5
2018-09-01,177.1
2018-10-01,180.3
2018-11-01,171.2
2018-12-01,162.2
2019-01-01,157.8
2019-02-01,160.7
2019-03-01,167.8
2019-04-01,171.5
2019-05-01,170.8
2019-06-01,166.3
2019-07-01,168.2
2019-08-01,165.8
2019-09-01,163.7
2019-10-01,166.7
2019-11-01,166.4
2019-12-01,168.5
2020-01-01,168.7
2020-02-01,163.9
