Month,World,OPEC,non-OPEC
2000-01-01,66449.89398,27138.80501,39311.08897
2000-02-01,67065.69292,27801.78653,39263.90639
2000-03-01,67098.94185,27735.05294,39363.88891
2000-04-01,67757.841,28627.94892,39129.89208
2000-05-01,68276.18633,29154.86169,39121.32464
2000-06-01,68074.38502,28748.65055,39325.73447
2000-07-01,68695.11506,29045.58228,39649.53278
2000-08-01,69526.13374,30025.1297,39501.00403
2000-09-01,69542.82359,30012.76275,39530.06083
2000-10-01,69980.33528,30282.18951,39698.14577
2000-11-01,70536.25218,30226.76839,40309.48379
2000-12-01,69280.21152,28760.52635,40519.68516
2001-01-01,69197.45217,28995.34429,40202.10789
2001-02-01,68718.72316,28593.00411,40125.71905
2001-03-01,69380.84853,29279.99935,40100.84918
2001-04-01,68451.2263,28613.3051,39837.92121
2001-05-01,67760.75575,28363.71353,39397.04222
2001-06-01,66206.98416,26872.94833,39334.03583
2001-07-01,68146.13372,28076.26585,40069.86787
2001-08-01,68319.82976,28580.47522,39739.35453
2001-09-01,67852.78372,27775.33763,40077.44609
2001-10-01,67750.0388,27731.02365,40019.01515
2001-11-01,68100.41317,27641.73582,40458.67735
2001-12-01,67692.71756,26747.00321,40945.71435
2002-01-01,66957.16047,26224.41142,40732.74905
2002-02-01,67028.49332,26250.72166,40777.77166
2002-03-01,66824.84506,26462.40295,40362.44211
2002-04-01,66288.446,25256.14185,41032.30415
2002-05-01,66859.48293,26101.21983,40758.2631
2002-06-01,66705.97192,25821.69323,40884.27869
2002-07-01,67186.74967,26403.5491,40783.20057
2002-08-01,66914.73151,26250.11342,40664.6181
2002-09-01,67465.25136,27068.27507,40396.97629
2002-10-01,68876.21022,27819.88791,41056.32232
2002-11-01,69006.41022,27891.45233,41114.95789
2002-12-01,67352.85167,26062.73809,41290.11358
2003-01-01,67750.16942,26441.45906,41308.71036
2003-02-01,69368.13162,27754.0546,41614.07701
2003-03-01,69883.65841,28384.63559,41499.02282
2003-04-01,68809.98629,27575.42109,41234.5652
2003-05-01,68772.77818,27611.82139,41160.95679
2003-06-01,67977.17469,26924.37528,41052.7994
2003-07-01,68603.79734,27063.57649,41540.22086
2003-08-01,69058.90352,27619.84302,41439.0605
2003-09-01,69660.74703,28106.20631,41554.54071
2003-10-01,70623.51456,28728.49246,41895.02209
2003-11-01,70860.664,28725.28918,42135.37482
2003-12-01,72127.32017,29432.60199,42694.71817
2004-01-01,71908.23552,29698.37426,42209.86127
2004-02-01,71883.68129,29644.37426,42239.30704
2004-03-01,71812.52572,29532.37426,42280.15146
2004-04-01,71780.9911,29515.37426,42265.61684
2004-05-01,71415.96508,29368.37426,42047.59082
2004-06-01,72973.4223,30505.00988,42468.41242
2004-07-01,73514.83965,30928.50988,42586.32977
2004-08-01,72484.39097,30767.73963,41716.65134
2004-09-01,73112.2621,31287.73963,41824.52246
2004-10-01,73726.30114,31326.23863,42400.06251
2004-11-01,73419.7956,30817.23863,42602.55696
2004-12-01,73093.07818,31028.96739,42064.11079
2005-01-01,73353.771,31252.98,42100.791
2005-02-01,73662.451,31386.604,42275.847
2005-03-01,73961.181,31580.646,42380.535
2005-04-01,74274.68,31715.238,42559.442
2005-05-01,74362.338,31605.889,42756.449
2005-06-01,73968.609,31762.797,42205.812
2005-07-01,73835.872,32019.853,41816.019
2005-08-01,73831.891,31983.822,41848.069
2005-09-01,73409.441,32382.221,41027.22
2005-10-01,73469.556,31997.591,41471.965
2005-11-01,74044.801,31952.721,42092.08
2005-12-01,74243.081,31881.375,42361.706
2006-01-01,73711.302,31631.542,42079.76
2006-02-01,73707.699,31668.417,42039.282
2006-03-01,73574.019,31505.347,42068.672
2006-04-01,73635.234,31526.317,42108.917
2006-05-01,73178.421,31204.685,41973.736
2006-06-01,73175.372,31511.749,41663.623
2006-07-01,74212.822,31858.898,42353.924
2006-08-01,73931.311,31962.208,41969.103
2006-09-01,73565.081,31610.33,41954.751
2006-10-01,73900.311,31391.18,42509.131
2006-11-01,73465.608,31029.447,42436.161
2006-12-01,73387.017,30961.248,42425.769
2007-01-01,73039.336,30786.371,42252.965
2007-02-01,73352.185,30705.414,42646.771
2007-03-01,73346.245,30758.148,42588.097
2007-04-01,73553.285,30983.368,42569.917
2007-05-01,73010.591,30818.647,42191.944
2007-06-01,72619.598,30688,41931.598
2007-07-01,73211.711,30948.493,42263.218
