Date,U.S. Ending Stocks excluding SPR of Crude Oil and Petroleum Products (Thousand Barrels),U.S. Ending Stocks excluding SPR of Crude Oil (Thousand Barrels)
1956-01-01,695017,
1956-02-01,686961,
1956-03-01,686883,
1956-04-01,698428,
1956-05-01,718204,
1956-06-01,734557,
1956-07-01,767614,
1956-08-01,789296,
1956-09-01,809021,
1956-10-01,819528,
1956-11-01,801706,
1956-12-01,780391,
1957-01-01,728557,
1957-02-01,716029,
1957-03-01,715545,
1957-04-01,730244,
1957-05-01,769646,
1957-06-01,802384,
1957-07-01,819246,
1957-08-01,835943,
1957-09-01,858994,
1957-10-01,863405,
1957-11-01,857904,
1957-12-01,841317,
1958-01-01,814887,
1958-02-01,777821,
1958-03-01,766073,
1958-04-01,760732,
1958-05-01,766411,
1958-06-01,773469,
1958-07-01,775979,
1958-08-01,794533,
1958-09-01,816668,
1958-10-01,822841,
1958-11-01,831305,
1958-12-01,788796,
1959-01-01,754390,
1959-02-01,751762,
1959-03-01,759057,
1959-04-01,765823,
1959-05-01,799256,
1959-06-01,816569,
1959-07-01,819179,
1959-08-01,834470,
1959-09-01,832655,
1959-10-01,845914,
1959-11-01,936528,
1959-12-01,808042,
1960-01-01,790865,
1960-02-01,780274,
1960-03-01,745742,
1960-04-01,760353,
1960-05-01,776660,
1960-06-01,779914,
1960-07-01,793733,
1960-08-01,802276,
1960-09-01,816623,
1960-10-01,831433,
1960-11-01,826755,
1960-12-01,778735,
1961-01-01,759439,
1961-02-01,752216,
1961-03-01,766999,
1961-04-01,791134,
1961-05-01,807200,
1961-06-01,817002,
1961-07-01,838232,
1961-08-01,841571,
1961-09-01,853618,
1961-10-01,866201,
1961-11-01,853344,
1961-12-01,825074,
1962-01-01,787991,
1962-02-01,774866,
1962-03-01,764080,
1962-04-01,783864,
1962-05-01,798445,
1962-06-01,812512,
1962-07-01,830062,
1962-08-01,847399,
1962-09-01,968504,
1962-10-01,879501,
1962-11-01,863571,
1962-12-01,834296,
1963-01-01,792943,
1963-02-01,759524,
1963-03-01,771002,
1963-04-01,795527,
1963-05-01,813647,
1963-06-01,833382,
1963-07-01,852667,
1963-08-01,864939,
1963-09-01,875897,
1963-10-01,887598,
1963-11-01,890453,
1963-12-01,835559,
1964-01-01,812789,
1964-02-01,802887,
1964-03-01,809249,
1964-04-01,818046,
1964-05-01,842722,
1964-06-01,843859,
1964-07-01,856716,
1964-08-01,837282,
1964-09-01,876467,
1964-10-01,878240,
1964-11-01,882471,
1964-12-01,839235,
1965-01-01,823988,
1965-02-01,801920,
1965-03-01,790628,
1965-04-01,802852,
1965-05-01,826732,
1965-06-01,840075,
1965-07-01,853232,
1965-08-01,864095,
1965-09-01,868433,
1965-10-01,880527,
1965-11-01,872955,
1965-12-01,936344,
1966-01-01,818702,
1966-02-01,794608,
1966-03-01,803006,
1966-04-01,812932,
1966-05-01,841981,
1966-06-01,850333,
1966-07-01,879401,
1966-08-01,892791,
1966-09-01,905535,
1966-10-01,916947,
1966-11-01,905722,
1966-12-01,881105,
1967-01-01,881749,
1967-02-01,861204,
1967-03-01,846761,
1967-04-01,880356,
1967-05-01,893309,
1967-06-01,899192,
1967-07-01,919971,
1967-08-01,940597,
1967-09-01,964898,
1967-10-01,976939,
1967-11-01,952913,
1967-12-01,944111,
1968-01-01,890548,
1968-02-01,863660,
1968-03-01,881733,
1968-04-01,898612,
1968-05-01,930225,
1968-06-01,959935,
1968-07-01,990995,
1968-08-01,1010547,
1968-09-01,1032461,
1968-10-01,1041546,
1968-11-01,1035709,
1968-12-01,999572,
1969-01-01,936324,
1969-02-01,904749,
1969-03-01,902716,
1969-04-01,920124,
1969-05-01,949050,
1969-06-01,974898,
1969-07-01,993054,
1969-08-01,1023238,
1969-09-01,1012509,
1969-10-01,1018020,
1969-11-01,1013284,
1969-12-01,980123,
1970-01-01,927855,
1970-02-01,907105,
1970-03-01,906154,
1970-04-01,923435,
1970-05-01,951563,
1970-06-01,966542,
1970-07-01,971005,
1970-08-01,982779,
1970-09-01,1009768,
1970-10-01,1025418,
1970-11-01,1043315,
1970-12-01,1017861,
1971-01-01,980427,
1971-02-01,943840,
1971-03-01,934405,
1971-04-01,945718,
1971-05-01,985965,
1971-06-01,1003522,
1971-07-01,1035972,
1971-08-01,1065671,
1971-09-01,1083488,
1971-10-01,1097430,
1971-11-01,1075204,
1971-12-01,1043947,
1972-01-01,1013934,
1972-02-01,964013,
1972-03-01,942300,
1972-04-01,946634,
1972-05-01,984433,
1972-06-01,991632,
1972-07-01,1023398,
1972-08-01,1025307,
1972-09-01,1046188,
1972-10-01,1050622,
1972-11-01,1013919,
1972-12-01,958979,
1973-01-01,905711,
1973-02-01,866305,
1973-03-01,887162,
1973-04-01,913300,
1973-05-01,933699,
1973-06-01,958011,
1973-07-01,986298,
1973-08-01,996955,
1973-09-01,1015641,
1973-10-01,1037440,
1973-11-01,1023238,
1973-12-01,1008307,
1974-01-01,975063,
1974-02-01,947171,
