Date,    OECD_consumption refined petroleum
2000-01-01,47074.93548
2000-02-01,50083.86207
2000-03-01,49158.12903
2000-04-01,46164.93333
2000-05-01,47168.32258
2000-06-01,47798.1
2000-07-01,47097.58065
2000-08-01,49665.03226
2000-09-01,48785.93333
2000-10-01,48185.70968
2000-11-01,48666.86667
2000-12-01,50458.64516
2001-01-01,49692.83871
2001-02-01,49603.92857
2001-03-01,49138.96774
2001-04-01,47119.7
2001-05-01,47107.80645
2001-06-01,47230.56667
2001-07-01,48136.83871
2001-08-01,48894.93548
2001-09-01,47521.83333
2001-10-01,48176.67742
2001-11-01,48936.3
2001-12-01,48918.64516
2002-01-01,48806.70968
2002-02-01,49181.17857
2002-03-01,48205.51613
2002-04-01,47242.06667
2002-05-01,46277.22581
2002-06-01,47170.3
2002-07-01,48556.90323
2002-08-01,48118.06452
2002-09-01,47944.76667
2002-10-01,48642.12903
2002-11-01,49531.9
2002-12-01,50363.80645
2003-01-01,49533.90323
2003-02-01,51552.07143
2003-03-01,48917.03226
2003-04-01,48138.86667
2003-05-01,47208.83871
2003-06-01,47825.63333
2003-07-01,48532
2003-08-01,48089.83871
2003-09-01,48963.53333
2003-10-01,49638.22581
2003-11-01,48720.73333
2003-12-01,51383.90323
2004-01-01,49739.51613
2004-02-01,51020.41379
2004-03-01,50769.12903
2004-04-01,49122.03333
2004-05-01,47225.96774
2004-06-01,49112.13333
2004-07-01,49576.09677
2004-08-01,49354.6129
2004-09-01,49774.63333
2004-10-01,49868.35484
2004-11-01,50556.63333
2004-12-01,52014.64516
2005-01-01,50311.98742
2005-02-01,51978.01743
2005-03-01,51593.64745
2005-04-01,48905.01
2005-05-01,48328.27577
2005-06-01,50070.63367
2005-07-01,49138.36613
2005-08-01,50905.83419
2005-09-01,49456.10633
2005-10-01,48379.50442
2005-11-01,50788.51667
2005-12-01,52580.23371
2006-01-01,50478.42403
2006-02-01,51533.33114
2006-03-01,51267.80861
2006-04-01,48107.68733
2006-05-01,48470.03926
2006-06-01,49959.024
2006-07-01,49298.15323
2006-08-01,50261.74948
2006-09-01,49530.28567
2006-10-01,49954.41787
2006-11-01,50782.04833
2006-12-01,50776.46481
2007-01-01,49634.4751
2007-02-01,51357.90857
2007-03-01,50194.68897
