Date,OPEC Total(Crude Oil)
Jan-00,26.01
Feb-00,26.68
Mar-00,26.61
Apr-00,27.52
May-00,28.05
Jun-00,27.64
Jul-00,27.91
Aug-00,28.88
Sep-00,28.85
Oct-00,29.12
Nov-00,29.07
Dec-00,27.64
Jan-01,27.82
Feb-01,27.43
Mar-01,28.09
Apr-01,27.42
May-01,27.18
Jun-01,25.68
Jul-01,26.91
Aug-01,27.41
Sep-01,26.61
Oct-01,26.57
Nov-01,26.47
Dec-01,25.58
Jan-02,25.08
Feb-02,25.12
Mar-02,25.32
Apr-02,24.12
May-02,24.96
Jun-02,24.68
Jul-02,25.25
Aug-02,25.1
Sep-02,25.91
Oct-02,26.68
Nov-02,26.75
Dec-02,24.95
Jan-03,25.36
Feb-03,26.67
Mar-03,27.29
Apr-03,26.47
May-03,26.67
Jun-03,25.96
Jul-03,26.08
Aug-03,26.57
Sep-03,26.91
Oct-03,27.53
Nov-03,27.51
Dec-03,28.18
Jan-04,28.47
Feb-04,28.39
Mar-04,28.29
Apr-04,28.24
May-04,28.05
Jun-04,29.19
Jul-04,29.58
Aug-04,29.4
Sep-04,29.91
Oct-04,29.94
Nov-04,29.42
Dec-04,29.62
Jan-05,29.82
Feb-05,29.93
Mar-05,30.12
Apr-05,30.24
May-05,30.12
Jun-05,30.24
Jul-05,30.48
Aug-05,30.51
Sep-05,30.84
Oct-05,30.5
Nov-05,30.45
Dec-05,30.36
Jan-06,30.05
Feb-06,30.09
Mar-06,29.94
Apr-06,29.95
May-06,29.62
Jun-06,29.87
Jul-06,30.19
Aug-06,30.29
Sep-06,29.95
Oct-06,29.72
Nov-06,29.35
Dec-06,29.28
Jan-07,28.96
Feb-07,29.03
Mar-07,29.11
Apr-07,29.32
May-07,29.14
Jun-07,29.01
Jul-07,29.27
Aug-07,29.26
Sep-07,29.89
Oct-07,30.08
Nov-07,29.92
Dec-07,30.58
Jan-08,30.56
Feb-08,30.64
Mar-08,30.85
Apr-08,30.56
May-08,30.92
Jun-08,31
Jul-08,31.36
Aug-08,31.16
Sep-08,30.87
Oct-08,30.91
Nov-08,30.19
Dec-08,29.54
Jan-09,28.57
Feb-09,28.42
Mar-09,28.31
Apr-09,28.46
May-09,28.48
Jun-09,28.57
Jul-09,28.81
Aug-09,28.91
Sep-09,28.92
Oct-09,28.96
Nov-09,29
Dec-09,28.98
Jan-10,28.98
Feb-10,29.13
Mar-10,29.19
Apr-10,29.33
May-10,29.32
Jun-10,29.91
Jul-10,29.85
Aug-10,29.83
Sep-10,29.81
Oct-10,29.29
Nov-10,29.42
Dec-10,29.46
Jan-11,30.05
Feb-11,29.57
Mar-11,28.37
Apr-11,28.42
May-11,28.51
Jun-11,29.16
Jul-11,29.44
Aug-11,29.53
Sep-11,29.59
Oct-11,29.27
Nov-11,30.12
Dec-11,30.11
Jan-12,30.31
Feb-12,30.61
Mar-12,30.82
Apr-12,31.06
May-12,30.66
Jun-12,30.75
Jul-12,30.63
Aug-12,30.81
Sep-12,30.6
Oct-12,30.14
Nov-12,30.06
Dec-12,29.64
Jan-13,29.41
Feb-13,29.29
Mar-13,29.45
Apr-13,29.91
May-13,29.87
Jun-13,29.75
Jul-13,29.87
Aug-13,29.93
Sep-13,29.12
Oct-13,29.08
Nov-13,28.57
Dec-13,28.76
Jan-14,29.28
Feb-14,29.42
Mar-14,28.92
Apr-14,28.76
May-14,29.06
Jun-14,29.09
Jul-14,29.34
Aug-14,29.64
Sep-14,29.89
Oct-14,30.18
Nov-14,29.63
Dec-14,29.9
Jan-15,29.51
Feb-15,29.41
Mar-15,30.24
Apr-15,30.39
May-15,30.64
Jun-15,31.09
Jul-15,31.3
Aug-15,31.09
Sep-15,31.22
Oct-15,30.99
Nov-15,31.12
Dec-15,31.1
Jan-16,31.49
Feb-16,31.07
Mar-16,31.16
Apr-16,31.27
May-16,31.29
Jun-16,31.73
Jul-16,31.81
Aug-16,31.68
Sep-16,31.74
Oct-16,32
Nov-16,32.39
Dec-16,32.25
Jan-17,31.31
Feb-17,31.19
Mar-17,30.82
Apr-17,30.9
May-17,31.4
Jun-17,31.83
Jul-17,32.05
Aug-17,31.92
Sep-17,32.06
Oct-17,31.87
Nov-17,31.61
Dec-17,31.48
Jan-18,31.76
Feb-18,31.59
Mar-18,31.41
Apr-18,31.34
May-18,31.23
Jun-18,31.23
Jul-18,31.29
Aug-18,31.53
Sep-18,31.67
Oct-18,31.84
Nov-18,31.6
Dec-18,30.82
Jan-19,30.16
Feb-19,30.09
Mar-19,29.59
Apr-19,29.66
May-19,29.34
Jun-19,29.43
Jul-19,29
Aug-19,29.25
Sep-19,27.68
Oct-19,29.14
Nov-19,29
Dec-19,28.91
Jan-20,28.66
Feb-20,28.03
