Date,Rest of US 'tight oil'(million bbl per day),,
01-Jan-00,0.160,,
01-Feb-00,0.161,,
01-Mar-00,0.160,,
01-Apr-00,0.160,,
01-May-00,0.160,,
01-Jun-00,0.159,,
01-Jul-00,0.155,,
01-Aug-00,0.155,,
01-Sep-00,0.156,,
01-Oct-00,0.158,,
01-Nov-00,0.156,,
01-Dec-00,0.158,,
01-Jan-01,0.158,,
01-Feb-01,0.161,,
01-Mar-01,0.159,,
01-Apr-01,0.160,,
01-May-01,0.159,,
01-Jun-01,0.157,,
01-Jul-01,0.158,,
01-Aug-01,0.160,,
01-Sep-01,0.162,,
01-Oct-01,0.164,,
01-Nov-01,0.161,,
01-Dec-01,0.161,,
01-Jan-02,0.163,,
01-Feb-02,0.163,,
01-Mar-02,0.161,,
01-Apr-02,0.162,,
01-May-02,0.160,,
01-Jun-02,0.159,,
01-Jul-02,0.157,,
01-Aug-02,0.159,,
01-Sep-02,0.158,,
01-Oct-02,0.157,,
01-Nov-02,0.158,,
01-Dec-02,0.156,,
01-Jan-03,0.157,,
01-Feb-03,0.156,,
01-Mar-03,0.154,,
01-Apr-03,0.153,,
01-May-03,0.153,,
01-Jun-03,0.153,,
01-Jul-03,0.154,,
01-Aug-03,0.153,,
01-Sep-03,0.154,,
01-Oct-03,0.155,,
01-Nov-03,0.153,,
01-Dec-03,0.154,,
01-Jan-04,0.153,,
01-Feb-04,0.155,,
01-Mar-04,0.153,,
01-Apr-04,0.154,,
01-May-04,0.153,,
01-Jun-04,0.152,,
01-Jul-04,0.151,,
01-Aug-04,0.152,,
01-Sep-04,0.154,,
01-Oct-04,0.155,,
01-Nov-04,0.156,,
01-Dec-04,0.156,,
01-Jan-05,0.154,,
01-Feb-05,0.153,,
01-Mar-05,0.155,,
01-Apr-05,0.153,,
01-May-05,0.150,,
01-Jun-05,0.151,,
01-Jul-05,0.149,,
01-Aug-05,0.150,,
01-Sep-05,0.151,,
01-Oct-05,0.153,,
01-Nov-05,0.152,,
01-Dec-05,0.152,,
01-Jan-06,0.152,,
01-Feb-06,0.152,,
01-Mar-06,0.153,,
01-Apr-06,0.152,,
01-May-06,0.151,,
01-Jun-06,0.149,,
01-Jul-06,0.148,,
01-Aug-06,0.145,,
01-Sep-06,0.152,,
01-Oct-06,0.153,,
01-Nov-06,0.156,,
01-Dec-06,0.156,,
01-Jan-07,0.153,,
01-Feb-07,0.138,,
01-Mar-07,0.152,,
01-Apr-07,0.157,,
01-May-07,0.157,,
01-Jun-07,0.155,,
01-Jul-07,0.155,,
01-Aug-07,0.157,,
01-Sep-07,0.157,,
01-Oct-07,0.160,,
01-Nov-07,0.161,,
01-Dec-07,0.162,,
01-Jan-08,0.161,,
01-Feb-08,0.162,,
01-Mar-08,0.163,,
01-Apr-08,0.159,,
01-May-08,0.158,,
01-Jun-08,0.159,,
01-Jul-08,0.159,,
01-Aug-08,0.160,,
01-Sep-08,0.156,,
01-Oct-08,0.166,,
01-Nov-08,0.169,,
01-Dec-08,0.170,,
01-Jan-09,0.170,,
01-Feb-09,0.172,,
01-Mar-09,0.168,,
01-Apr-09,0.166,,
01-May-09,0.164,,
01-Jun-09,0.161,,
01-Jul-09,0.158,,
01-Aug-09,0.159,,
01-Sep-09,0.164,,
01-Oct-09,0.162,,
01-Nov-09,0.166,,
01-Dec-09,0.160,,
01-Jan-10,0.164,,
01-Feb-10,0.168,,
01-Mar-10,0.177,,
01-Apr-10,0.175,,
01-May-10,0.174,,
01-Jun-10,0.172,,
01-Jul-10,0.178,,
01-Aug-10,0.183,,
01-Sep-10,0.189,,
01-Oct-10,0.196,,
01-Nov-10,0.201,,
01-Dec-10,0.201,,
01-Jan-11,0.206,,
01-Feb-11,0.198,,
01-Mar-11,0.216,,
01-Apr-11,0.224,,
01-May-11,0.233,,
01-Jun-11,0.229,,
01-Jul-11,0.230,,
01-Aug-11,0.236,,
01-Sep-11,0.237,,
01-Oct-11,0.246,,
01-Nov-11,0.248,,
01-Dec-11,0.248,,
01-Jan-12,0.249,,
01-Feb-12,0.258,,
01-Mar-12,0.251,,
01-Apr-12,0.260,,
01-May-12,0.263,,
01-Jun-12,0.267,,
01-Jul-12,0.269,,
01-Aug-12,0.274,,
01-Sep-12,0.287,,
01-Oct-12,0.299,,
01-Nov-12,0.299,,
01-Dec-12,0.297,,
01-Jan-13,0.298,,
01-Feb-13,0.302,,
01-Mar-13,0.313,,
01-Apr-13,0.316,,
01-May-13,0.314,,
01-Jun-13,0.313,,
01-Jul-13,0.316,,
01-Aug-13,0.324,,
01-Sep-13,0.325,,
01-Oct-13,0.325,,
01-Nov-13,0.325,,
01-Dec-13,0.324,,
01-Jan-14,0.324,,
01-Feb-14,0.327,,
01-Mar-14,0.338,,
01-Apr-14,0.344,,
01-May-14,0.346,,
01-Jun-14,0.346,,
01-Jul-14,0.341,,
01-Aug-14,0.359,,
01-Sep-14,0.370,,
01-Oct-14,0.376,,
01-Nov-14,0.378,,
01-Dec-14,0.387,,
01-Jan-15,0.374,,
01-Feb-15,0.390,,
01-Mar-15,0.400,,
01-Apr-15,0.408,,
01-May-15,0.404,,
01-Jun-15,0.394,,
01-Jul-15,0.376,,
01-Aug-15,0.374,,
01-Sep-15,0.372,,
01-Oct-15,0.366,,
01-Nov-15,0.366,,
01-Dec-15,0.362,,
01-Jan-16,0.338,,
01-Feb-16,0.341,,
01-Mar-16,0.335,,
01-Apr-16,0.315,,
01-May-16,0.313,,
01-Jun-16,0.303,,
01-Jul-16,0.293,,
01-Aug-16,0.294,,
01-Sep-16,0.294,,
01-Oct-16,0.288,,
01-Nov-16,0.291,,
01-Dec-16,0.286,,
01-Jan-17,0.288,,
01-Feb-17,0.291,,
01-Mar-17,0.289,,
01-Apr-17,0.288,,
01-May-17,0.291,,
01-Jun-17,0.287,,
01-Jul-17,0.286,,
01-Aug-17,0.294,,
01-Sep-17,0.307,,
01-Oct-17,0.316,,
01-Nov-17,0.316,,
01-Dec-17,0.318,,
01-Jan-18,0.308,,
01-Feb-18,0.314,,
01-Mar-18,0.324,,
01-Apr-18,0.315,,
01-May-18,0.316,,
01-Jun-18,0.311,,
01-Jul-18,0.319,,
01-Aug-18,0.337,,
01-Sep-18,0.350,,
01-Oct-18,0.351,,
01-Nov-18,0.354,,
01-Dec-18,0.360,,
01-Jan-19,0.354,,
01-Feb-19,0.353,,
01-Mar-19,0.347,,
01-Apr-19,0.348,,
01-May-19,0.355,,
01-Jun-19,0.365,,
01-Jul-19,0.364,,
01-Aug-19,0.374,,
01-Sep-19,0.387,,
01-Oct-19,0.391,,
01-Nov-19,0.381,,
01-Dec-19,0.393,,
01-Jan-20,0.376,,
01-Feb-20,0.369,,
