Month,World,OPEC,non-OPEC
1973-01-01,54389,28615,25774
1973-02-01,54930,28875,26055
1973-03-01,54995,28922,26073
1973-04-01,55049,28831,26218
1973-05-01,56323,30009,26314
1973-06-01,55711,29190,26521
1973-07-01,57420,30826,26594
1973-08-01,56750,30212,26538
1973-09-01,57744,31133,26611
1973-10-01,56614,29925,26689
1973-11-01,53866,27234,26632
1973-12-01,54277,27473,26804
1974-01-01,55474,29037,26437
1974-02-01,55943,29370,26573
1974-03-01,56375,29913,26462
1974-04-01,57110,30507,26603
1974-05-01,57279,30533,26746
1974-06-01,56858,30245,26613
1974-07-01,55765,29199,26566
1974-08-01,54302,28035,26267
1974-09-01,54841,28342,26499
1974-10-01,55013,28035,26978
1974-11-01,55088,28217,26871
1974-12-01,54596,27446,27150
1975-01-01,52420,25612,26808
1975-02-01,51408,24412,26996
1975-03-01,51326,24542,26784
1975-04-01,50946,24329,26617
1975-05-01,51181,24731,26450
1975-06-01,52475,25453,27022
1975-07-01,53856,26537,27319
1975-08-01,55017,27625,27392
1975-09-01,56741,29220,27521
1975-10-01,51389,23694,27695
1975-11-01,53192,25369,27823
1975-12-01,53916,25767,28149
1976-01-01,53133,25191,27942
1976-02-01,54565,26662,27903
1976-03-01,55927,27965,27962
1976-04-01,54905,27166,27739
1976-05-01,55140,27044,28096
1976-06-01,56950,28431,28519
1976-07-01,57293,28765,28528
1976-08-01,57699,29082,28617
1976-09-01,58596,29905,28691
1976-10-01,60391,31425,28966
1976-11-01,60955,32044,28911
1976-12-01,62462,32842,29620
1977-01-01,56833,27581.698,29251.302
1977-02-01,60649,30854.725,29794.275
1977-03-01,61144,31062.862,30081.138
1977-04-01,60186,30345.807,29840.193
1977-05-01,58262,28311.807,29950.193
1977-06-01,59158,28933.752,30224.248
1977-07-01,58028,28075.875,29952.125
1977-08-01,58854,28313.78,30540.22
1977-09-01,60089,29637.889,30451.111
1977-10-01,59961,28974.807,30986.193
1977-11-01,61113,29896.807,31216.193
1977-12-01,62350,30919.752,31430.248
1978-01-01,56705,25548,31157
1978-02-01,58208,26760,31448
1978-03-01,58717,27000,31717
1978-04-01,59610,27628,31982
