Date,U.S. Field Production of Crude Oil (Thousand Barrels),U.S. Imports of Crude Oil (Thousand Barrels),U.S. Crude Oil SPR Imports  from All Countries (Thousand Barrels),U.S. Supply Adjustment of Crude Oil (Thousand Barrels),
Jan-2000,179316,242698,84,11228,
Feb-2000,169703,241236,496,-410,
Mar-2000,183464,272503,0,12768,
Apr-2000,175625,280228,0,6187,
May-2000,181242,281621,0,9385,
Jun-2000,174686,286000,475,4276,
Jul-2000,177920,291346,475,14610,
Aug-2000,179451,308103,0,3946,
Sep-2000,172731,284528,0,-4763,
Oct-2000,180080,278052,980,2167,
Nov-2000,174980,267387,496,-28,
Dec-2000,181508,286114,0,-2680,
Jan-2001,179767,276911,995,12157,
Feb-2001,161843,241046,0,703,
Mar-2001,182290,297683,454,1981,
Apr-2001,175879,303320,0,9125,
May-2001,180712,306450,919,2175,
Jun-2001,172974,273160,0,3690,
Jul-2001,178208,296127,464,7527,
Aug-2001,177488,290870,0,587,
Sep-2001,171270,280182,0,1326,
Oct-2001,178129,285531,0,6152,
Nov-2001,176441,279594,524,-4657,
Dec-2001,182511,274020,556,1886,
Jan-2002,182076,269965,1026,10069,
Feb-2002,164666,245094,1649,3344,
Mar-2002,182460,272781,0,2992,
Apr-2002,175333,279024,0,2027,
May-2002,183057,289026,500,9356,
Jun-2002,176532,279718,502,1546,
Jul-2002,178275,284708,0,5140,
Aug-2002,179670,295874,0,-4122,
Sep-2002,162336,263909,0,-802,
Oct-2002,166105,295480,0,5148,
Nov-2002,168706,289623,1030,-510,
Dec-2002,177372,270973,1060,6358,
Jan-2003,178412,267623,0,-4663,
Feb-2003,161920,237278,0,644,
Mar-2003,179907,285994,0,7810,
Apr-2003,171774,297835,0,8126,
May-2003,175568,314748,0,1041,
Jun-2003,169772,301151,0,3546,
Jul-2003,170452,311061,0,4832,
Aug-2003,172787,310705,0,3574,
Sep-2003,168270,308615,0,-179,
Oct-2003,174020,311950,0,4561,
Nov-2003,166397,280530,0,6676,
Dec-2003,172715,300206,0,-4690,
Jan-2004,173132,289762,0,1043,
Feb-2004,161583,270188,0,13352,
Mar-2004,174115,312739,0,-9556,
Apr-2004,166810,303443,0,9656,
May-2004,172235,324012,0,4660,
Jun-2004,162208,315989,0,11717,
Jul-2004,170011,319253,0,4560,
Aug-2004,165072,324258,0,-956,
Sep-2004,152444,290923,0,2647,
Oct-2004,160270,321222,0,-3777,
Nov-2004,162699,307154,0,5339,
Dec-2004,170815,313120,0,5577,
Jan-2005,168831,309901,4143,426,
Feb-2005,154038,286124,1277,2394,
Mar-2005,173626,317497,4336,5262,
Apr-2005,166885,306734,2902,14473,
May-2005,173491,323400,,-1764,
Jun-2005,163263,322953,1907,780,
Jul-2005,162854,321697,1603,795,
Aug-2005,161153,322526,1048,-4472,
Sep-2005,126417,274650,416,8919,
Oct-2005,141200,292751,,-3104,
Nov-2005,145708,307852,1019,-470,
Dec-2005,154630,309886,238,2895,
Jan-2006,156480,302761,,-972,
Feb-2006,140894,279530,378,8736,
Mar-2006,155842,302241,998,-3824,
Apr-2006,152450,295774,997,7075,
May-2006,159667,319400,713,-3494,
Jun-2006,154884,321369,,-4489,
Jul-2006,157919,317114,,7014,
Aug-2006,156232,327476,,7561,
Sep-2006,150926,321298,,552,
Oct-2006,158353,313272,,1859,
Nov-2006,151926,296627,,-2310,
Dec-2006,160768,296219,,-2547,
Jan-2007,158342,316538,,1667,
Feb-2007,143301,252238,,2301,
Mar-2007,158697,321781,546,-6140,
Apr-2007,155407,304815,,3751,
May-2007,161548,320168,,8366,
Jun-2007,152254,300437,,7171,
Jul-2007,156175,308120,,4861,
Aug-2007,154060,319805,,-2159,
Sep-2007,147061,309200,,-5534,
Oct-2007,155680,303317,1602,1584,
Nov-2007,151021,300115,555,-2477,
Dec-2007,158427,304870,,-3755,
Jan-2008,158566,312536,519,-65,
Feb-2008,149297,279439,,2345,
Mar-2008,160868,298712,1076,760,
Apr-2008,155403,299373,522,-4274,
May-2008,159437,299584,2899,1411,
Jun-2008,154133,300528,1297,2326,
Jul-2008,160481,314092,800,95,
Aug-2008,155092,320049,,-3378,
Sep-2008,119208,253396,,8021,
Oct-2008,146868,312681,,991,
Nov-2008,152343,298309,,-2704,
Dec-2008,158183,291995,,383,
Jan-2009,159467,303136,1019,3921,
Feb-2009,146698,254061,958,3704,
Mar-2009,161776,290728,6842,2513,
Apr-2009,158344,281218,4630,2435,
May-2009,166684,272716,1600,3042,
Jun-2009,158079,274054,2305,5023,
Jul-2009,167336,281911,,4003,
Aug-2009,167945,273235,499,2614,
Sep-2009,166765,277619,973,-1292,
Oct-2009,171258,265536,,-269,
Nov-2009,161838,262201,1052,-261,
Dec-2009,169004,253260,490,2026,
Jan-2010,167529,263249,,2851,
Feb-2010,155496,245302,,-2317,
Mar-2010,170975,289582,,625,
Apr-2010,161770,291766,,5672,
May-2010,167427,299304,,4701,
Jun-2010,161384,297814,,6895,
Jul-2010,164232,307894,,3125,
Aug-2010,168862,295837,,6519,
Sep-2010,168470,276863,,2240,
Oct-2010,174546,264726,,6,
Nov-2010,167255,260966,,-3549,
Dec-2010,173812,269553,,2781,
Jan-2011,170319,284678,,5712,
Feb-2011,151291,229140,,6699,
Mar-2011,174068,284677,,1976,
Apr-2011,166728,265167,,2241,
May-2011,174296,280840,,3922,
Jun-2011,167619,277050,,2839,
Jul-2011,168617,287563,,11631,
Aug-2011,175576,277006,,9470,
Sep-2011,168416,267410,,6410,
Oct-2011,182923,276125,,856,
