Month,U.S. Ending Stocks of Crude Oil and Petroleum Products (Thousand Barrels),U.S. Ending Stocks of Total Petroleum Products (Thousand Barrels),U.S. Ending Stocks of Crude Oil (Thousand Barrels)
2000-01-01,1477448,625073,852375
2000-02-01,1466210,610993,855217
2000-03-01,1476302,609802,866500
2000-04-01,1505432,632186,873246
2000-05-01,1517741,653616,864125
2000-06-01,1525954,666438,859516
2000-07-01,1539634,687093,852541
2000-08-01,1531794,673142,858652
2000-09-01,1526910,678671,848239
2000-10-01,1506655,664279,842376
2000-11-01,1505414,671467,833947
2000-12-01,1467547,641362,826185
2001-01-01,1478528,642526,836002
2001-02-01,1472902,648758,824144
2001-03-01,1484056,633222,850834
2001-04-01,1521526,648599,872927
2001-05-01,1555265,683631,871634
2001-06-01,1563020,711501,851519
2001-07-01,1568330,711713,856617
2001-08-01,1548249,696580,851669
2001-09-01,1578940,724893,854047
2001-10-01,1576990,718547,858443
2001-11-01,1587757,728242,859515
2001-12-01,1586349,724128,862221
2002-01-01,1590645,715746,874899
2002-02-01,1576425,689117,887308
2002-03-01,1572822,677832,894990
2002-04-01,1588439,697048,891391
2002-05-01,1610944,712658,898286
2002-06-01,1616137,722132,894005
2002-07-01,1610814,728026,882788
2002-08-01,1596346,717868,878478
2002-09-01,1574063,716190,857873
2002-10-01,1573034,691941,881093
2002-11-01,1578466,694500,883966
2002-12-01,1547910,671205,876705
2003-01-01,1504403,631111,873292
2003-02-01,1460452,590119,870333
2003-03-01,1474478,593644,880834
2003-04-01,1496082,605122,890960
2003-05-01,1532900,644261,888639
2003-06-01,1559756,666621,893135
2003-07-01,1570434,673105,897329
2003-08-01,1571972,674177,897795
2003-09-01,1597968,686949,911019
2003-10-01,1601678,676163,925515
2003-11-01,1598206,683381,914825
2003-12-01,1568303,661040,907263
2004-01-01,1556354,643592,912762
2004-02-01,1557130,625952,931178
2004-03-01,1570788,621301,949487
2004-04-01,1580367,618855,961512
2004-05-01,1610065,644218,965847
2004-06-01,1630882,663659,967223
2004-07-01,1646102,686012,960090
2004-08-01,1654216,706571,947645
2004-09-01,1641501,698280,943221
2004-10-01,1637187,680199,956988
2004-11-01,1656220,695218,961002
2004-12-01,1644805,683464,961341
2005-01-01,1631066,681082,949984
2005-02-01,1646402,678379,968023
2005-03-01,1644426,652770,991656
2005-04-01,1685810,672213,1013597
2005-05-01,1713593,699626,1013967
2005-06-01,1723490,715210,1008280
2005-07-01,1727179,725968,1001211
2005-08-01,1699944,705644,994300
2005-09-01,1688275,704289,983986
2005-10-01,1700287,709014,991273
2005-11-01,1713340,721387,991953
2005-12-01,1681551,689356,992195
2006-01-01,1696514,705852,990662
2006-02-01,1702995,691843,1011152
2006-03-01,1674831,662360,1012471
2006-04-01,1684091,664946,1019145
2006-05-01,1707169,694283,1012886
2006-06-01,1712513,704143,1008370
2006-07-01,1726740,723508,1003232
2006-08-01,1746561,742099,1004462
2006-09-01,1768870,764434,1004436
2006-10-01,1752641,741119,1011522
2006-11-01,1728775,721986,1006789
2006-12-01,1703049,718625,984424
2007-01-01,1706809,710871,995938
2007-02-01,1648933,660042,988891
2007-03-01,1660261,658118,1002143
2007-04-01,1676613,662430,1014183
2007-05-01,1706518,680160,1026358
2007-06-01,1712479,685256,1027223
2007-07-01,1716222,706472,1009750
2007-08-01,1698588,704681,993907
2007-09-01,1699464,712620,986844
2007-10-01,1690449,706287,984162
2007-11-01,1672428,694745,977683
2007-12-01,1647633,682299,965334
2008-01-01,1659070,681994,977076
2008-02-01,1645959,662510,983449
2008-03-01,1637298,639708,997590
2008-04-01,1648913,645206,1003707
2008-05-01,1656603,666200,990403
2008-06-01,1668491,684282,984209
2008-07-01,1680705,695642,985063
