Estimate,Value
106.7932491929293,105.36
105.45919938805145,108.23
108.11230387357247,106.26
106.24454055208004,104.7
104.96066181144715,103.62
103.88580819797343,103.22
103.07177455440521,102.68
102.82144621261273,103.1
103.18351836706302,102.86
102.9672664978231,102.36
102.47163335879985,102.09
102.21236119440528,104.15
104.08577990456784,103.29
103.26343802308796,103.83
103.90489480729349,103.07
103.1239273593824,103.54
103.42834678244122,101.63
101.70073774838083,103.08
103.0107418382786,102.17
102.1402054726753,102.46
102.40480801259274,101.15
101.28849106016811,102.34
102.22641558340776,100.72
100.7656340144679,100.87
100.86245496251306,99.28
99.39228262073581,97.63
97.63237467360759,96.9
97.04286804627046,96.65
96.58007381552365,97.4
97.41195289483393,98.74
98.77321942105326,98.29
98.3068838399795,96.81
96.971243890145,96.29
96.37682861066881,94.56
94.54929016850126,94.58
94.652308108426,93.4
93.48390198032307,94.74
94.71786020458747,94.25
94.32211831366234,94.56
94.58208166705985,95.13
95.1975279148536,93.12
93.13373818436287,93.91
94.00361905441582,93.76
93.72992087046013,93.8
93.73536001815188,93.03
93.20993936402904,93.35
93.31917674675759,93.34
93.32706129979907,95.35
95.30865229527667,94.53
94.52344035527166,93.86
93.95167126817145,93.41
93.4953070240423,92.05
91.99118063713325,92.55
92.61669167675983,93.61
93.56591782446544,95.83
95.69402690470727,96.97
96.98516389753422,97.14
97.13215581258807,97.48
97.48167567782627,97.1
97.0438665757562,98.32
98.23517954096322,97.25
97.24292615743815,97.21
97.22917516445384,96.27
96.3328948083151,97.18
97.09566003853065,96.99
97.01026940837905,97.59
97.58514325973492,98.4
98.40647080463395,99.11
99.04011786532567,98.62
98.65678424320154,98.87
98.89566733517447,99.18
99.12137282165422,99.94
99.87526037174331,98.9
98.9530314753644,98.17
98.23660237295411,95.14
95.26486847265669,93.66
93.75983077686371,93.12
93.18662672615119,93.31
93.28045372055762,91.9
92.07331446190499,91.36
91.52072569498786,92.39
92.39516309024782,91.45
91.45196781620538,92.15
92.26548883142326,93.78
93.74960687513833,93.54
93.44466473278008,93.96
94.08618661603761,94.51
94.47772409408618,96.35
96.17636708504557,97.23
97.20749779719432,96.66
96.65973573360257,95.82
95.88613043342166,97.49
97.3918156574514,97.34
97.20795467555523,98.25
98.26996983640484,97.55
97.60933096575276,96.44
96.42192695144875,97.24
97.24906150638408,97.4
97.2490611088431,97.84
97.83446100280044,99.98
99.99063494822153,100.12
99.99631485096386,99.96
100.02440469315435,100.38
100.41748953419481,100.27
100.1331265098743,100.31
100.33413100387746,102.54
102.47509291932163,103.46
103.3028481258689,103.2
103.24758365999304,102.53
102.62705394456913,103.17
103.06208244485512,102.2
102.17127571823372,102.93
102.95460334782864,102.68
102.67427574608283,102.88
102.84732352222882,105.34
105.32328541660326,103.64
103.58290553907541,101.75
101.94335443193174,101.82
101.92289650161182,102.82
102.57230249267708,101.39
101.49128103962137,100.29
100.50417821570234,98.29
98.50648583784576,98.57
98.58077069303071,99.23
99.2930619845525,98.43
98.52695120353629,100.08
100.18882650974689,100.71
100.64295160306963,99.68
99.69133228378429,99.97
100.12935101109068,100.05
99.9411684239718,99.66
99.63762629026022,100.61
100.6833815780751,101.25
101.14604779271347,101.73
101.7140250062171,101.57
101.63666203866657,99.69
99.72504758313772,99.6
99.66596425313692,100.29
100.22159434762177,101.16
101.06536020305558,100.43
100.54914347239546,102.57
102.55069844060316,103.55
103.42175633303228,103.37
103.3549023379888,103.68
103.78095285946335,104.05
103.92994631275631,103.7
103.662099481729,103.71
103.76500656205698,104.33
104.26559692702403,104.35
104.31199147218642,101.69
101.82766310612371,101.47
101.58042005253775,102.2
102.11362498616856,100.85
100.82743480594874,101.13
101.32943938036867,101.56
101.53504506230813,100.07
100.06246303391508,99.69
99.89521141837477,100.09
100.05038594013901,99.74
99.69005962573667,99.81
99.94351169382703,101.06
101.02354436415366,100.52
100.48182554004592,100.32
100.43147135612631,100.89
100.8897524825507,102.01
101.87847125410597,102.63
102.63209925143512,101.74
101.79268173072231,102.31
102.32301985941021,102.95
102.87079000862562,102.8
102.74719272819065,104.31
104.3386565854661,104.03
103.96248087482986,105.01
104.98122309918048,104.78
104.8136076183315,103.37
103.3506841746214,104.26
104.32407396962545,103.4
103.32740671702854,103.07
103.09964475625853,103.34
103.44525115850026,103.27
103.17633055989367,103.17
103.24363482644867,103.32
103.36731383273793,105.09
104.98967687632528,105.02
105.00181843653382,105.04
105.0934750123365,107.2
107.15267393964889,107.49
107.32653495418667,107.52
