Estimate,Value
103.0799576215939,102.2
102.16026939528423,102.93
102.97579791177478,102.68
102.70853362408386,102.88
102.86963950348198,105.34
105.3217021871227,103.64
103.6134953847899,101.75
102.00934892072648,101.82
101.89078423768483,102.82
102.55831732267328,101.39
101.48740113429254,100.29
100.54489357471499,98.29
98.39833361558028,98.57
98.5179551524212,99.23
99.19801230096924,98.43
98.4817807908703,100.08
100.20203684294665,100.71
100.62585942031043,99.68
99.72458782010013,99.97
100.12094891699384,100.05
99.94831347158663,99.66
99.64571005851323,100.61
100.67366376391098,101.25
101.18794726742999,101.73
101.73206063622388,101.57
101.6500660145414,99.69
99.77244268867703,99.6
99.6590643603087,100.29
100.19210023313813,101.16
101.08557572768669,100.43
100.57676218244582,102.57
102.58375282450595,103.55
103.4205837480463,103.37
103.37705596898485,103.68
103.8232193586991,104.05
103.9479321360064,103.7
103.67736899008021,103.71
103.77495924400719,104.33
104.30808473679096,104.35
104.32350778593333,101.69
101.85896580140799,101.47
101.60561803000473,102.2
102.07419625652818,100.85
100.82774998138676,101.13
101.35443515119547,101.56
101.5380499298347,100.07
100.074010470245,99.69
99.87422398111245,100.09
100.05071827600175,99.74
99.68901298368539,99.81
99.92875233498091,101.06
101.04861914288648,100.52
100.4933924958895,100.32
100.43436516392262,100.89
100.90324085597197,102.01
101.87912318712861,102.63
102.63596075953319,101.74
101.84185000702237,102.31
102.35803845335369,102.95
102.84926371032543,102.8
102.77157341787412,104.31
104.36436709038058,104.03
103.99183179687095,105.01
105.01922547965864,104.78
104.81444062855269,103.37
103.40219055904146,104.26
104.3260283897476,103.4
103.31723141097572,103.07
103.14629606247235,103.34
103.43099396362094,103.27
103.20530032313437,103.17
103.24847601367847,103.32
103.36236784152388,105.09
105.0173924762998,105.02
104.993348248381,105.04
105.13806714980686,107.2
107.16844100489813,107.49
107.33119878729323,107.52
107.61653553298657,106.95
107.05695459824504,106.64
106.58461425342279,107.08
107.06094563924225,107.95
107.89813549559679,106.83
106.90909053357024,106.64
106.7686118190751,107.04
107.01038125066454,106.49
106.44073890654415,106.46
106.57514453765957,106.07
106.11021334989161,106.06
106.06107929245482,105.18
105.25413300365281,104.76
104.82171910827917,104.19
104.23901586150662,104.06
104.07150721167622,102.93
103.01931114822793,103.61
103.64831354957593,101.48
101.55166658114443,101.73
101.81785291198739,100.56
100.62151773760864,101.88
101.80695670927444,103.84
103.82075897282759,103.83
103.79392965922725,105.34
105.47016274730916,104.59
104.56745297196646,103.81
103.83613434152171,102.76
102.85935405421576,105.23
105.05961273504535,105.68
105.58807853726306,104.91
105.05517474016229,104.29
104.49658401460194,98.23
98.36106711476008,97.86
98.03226890035236,98.26
98.09201792398771,97.34
97.26973587860067,96.93
97.33105445475134,97.34
97.35438834190019,97.61
97.54985798135816,98.09
98.13863164154195,97.36
97.43464927949239,97.57
97.60801248795883,95.54
95.60333976996863,97.3
97.28291639367579,96.44
96.40953425473039,94.35
94.48782514347815,96.4
96.52479581668972,93.97
93.83298248630638,93.61
93.79997832324679,95.39
95.41480268234208,95.78
95.55062716521685,95.82
96.01375186404896,96.44
96.50551379532607,97.86
97.71729269562852,92.92
93.09877804015322,95.5
95.63772425925872,94.51
94.30264950378647,93.32
93.33839165388643,92.64
93.0161862531924,92.73
92.56158881298876,91.71
91.77307143454014,92.89
92.9462386076363,92.18
92.19265204219364,92.86
92.89041230396313,94.91
94.87413479697123,94.33
94.25404679845815,93.07
93.29323657468956,92.43
92.50267595051719,91.46
91.36972510559161,91.55
91.5786710358726,93.6
93.54920563517358,93.59
93.56126683645654,95.55
95.61841963308635,94.53
94.56649386790585,91.17
91.32517713455462,90.74
90.8899111506641,91.02
90.789846919761,89.76
89.79771136938741,90.33
90.55536384305431,88.89
88.93329699945883,87.29
87.40459326962375,85.76
85.92082271558056,85.87
85.81366008286962,85.73
85.74023219638636,81.72
81.96831034168513,81.82
82.04297292694481,82.33
82.16021080895392,82.8
82.7091350545225,82.76
83.00130007469738,83.25
83.27022840997849,80.52
80.61468174625504,82.81
82.8102405361755,81.27
81.18840319195985,81.26
81.32930227426455,81.36
81.5095608935068,82.25
82.06759078517555,81.06
81.18664148311204,80.53
80.64300375960482,78.77
78.84685099569593,77.15
77.19687715967103,78.71
78.69899505770744,77.87
77.80310828044614,78.71
78.83699027511206,77.43
77.56251464654801,77.85
77.81657642968702,77.16
77.2072578065317,74.13
74.24065168448554,75.91
75.99520857890887,75.64
75.45916487699465,74.55
74.66336925270348,74.55
74.7881819313895,75.63
75.45398102438169,76.52
76.45328297341416,75.74
75.85920658263575,74.04
74.20879681876589,73.7
73.7147660217263,65.94
66.16656091283014,68.98
69.09110423214338,66.99
66.79872559623018,67.3
67.33125212406745,66.73
67.1699521715379,65.89
65.76667826803465,63.13
63.38486648192242,63.74
63.74199434377396,60.99
61.02034292618459,60.01
60.1517622668108,57.81
58.004699811870054,55.96
55.980875841330636,55.97
56.068210702787276,56.43
56.351167226456504,54.18
54.353711998799746,56.91
56.97115594656703,55.25
55.18612226017556,56.78
56.79087879888834,55.7
55.83812132621641,54.59
54.55517111137832,53.46
53.63066027539774,54.14
53.997190559667736,53.45
53.463147415128965,52.72
52.8399193194869,50.05
50.24917756475927,47.98
48.06912246131974,48.69
48.634854216284026,48.8
48.683315718547696,48.35
48.4961498731427,46.06
46.3109285773656,45.92
45.939132998193124,48.49
48.27937535132712,46.37
46.37151952702948,48.49
48.66571828781081,46.79
46.80867253317253,47.85
47.746614339463875,45.93
46.098534212721745,45.26
45.234891788723395,44.8
44.88540374455743,45.84
45.682295592282806,44.08
44.211173156969444,44.12
44.22931712287753,47.79
47.60243353099312,49.25
48.999854503709805,53.04
53.06765306984313,48.45
48.719878089723046,50.48
50.47773888456171,51.66
51.41100540838867,52.99
52.671154267163736,50.06
50.50977273073184,48.8
48.91389692215705,51.17
50.965821354127975,52.66
52.34744658989588,53.56
53.68016346248108,52.13
52.35806266962609,51.12
51.16564277371714,49.95
49.94116066639524,49.56
49.50096807324006,48.48
48.554242803332066,50.25
50.20613997541194,47.65
47.75087102650979,49.84
49.85294843218397,49.59
49.5680503013451,50.43
50.317719225516726,51.53
51.6386724015363,50.76
50.69163922018538,49.61
49.76307540333646,49.95
49.929198391870905,48.42
48.38173658996309,48.06
48.14258854590819,47.12
47.196443651871625,44.88
44.95124405693865,43.93
44.070818554149554,43.39
43.36225727561165,44.63
44.54534096327508,44.02
44.09344852665542,46.0
45.99784683584766,47.4
47.327818013140444,47.03
47.00974298771608,48.75
48.80843667457129,51.41
51.17133242501922,48.83
48.87850279262969,48.66
48.89138690466209,47.72
47.66813330765707,50.12
49.82567946195335,49.13
49.22162265798895,52.08
52.02689874758254,53.95
53.87290060125986,50.44
50.53066677839333,50.79
51.05241656380345,51.63
51.36371072932578,51.95
51.75011246979344,53.3
53.44543842733832,56.25
56.092841962576614,56.69
56.616107273490144,55.71
55.87325476692889,56.37
56.38837756993721,55.58
55.436548641252884,56.17
56.14475853380698,56.59
56.60251433089022,55.98
55.975656610175285,55.56
55.67330183379474,57.05
56.954231515421796,58.55
58.39737268732861,59.62
59.611785339871666,59.1
59.21735446458319,58.92
58.94770566686263,60.38
60.25449817521816,60.93
60.8032981307389,58.99
59.152952989966984,59.41
59.51147224386464,59.23
59.11062586995094,60.72
60.59880783892558,60.5
60.585944101785145,59.89
59.95991637301438,59.73
59.80130059855529,59.44
59.36635773567608,57.3
57.41214460822843,58.96
58.95770285139529,60.18
60.01565392382479,58.88
58.941048868413695,57.29
57.60265493479672,57.51
57.45119027789817,57.69
57.535966394607605,60.25
60.16226072177371,60.24
60.275648408725196,61.3
61.33644464342311,59.67
59.786704346963084,58.0
58.03758045553732,59.11
59.080226720890934,58.15
58.02996198884416,60.15
60.16332510608649,61.36
61.33745470189221,60.74
60.73661893115086,59.96
60.15894837223134,59.53
59.48797532085138,60.01
59.906236473727645,59.89
59.891910610638924,60.41
60.44184949169332,59.62
59.68392610107741,60.01
60.01061022174975,61.05
60.99060177782703,60.01
60.01226021361757,59.59
59.72998144338163,59.41
59.40996256206508,58.34
58.316610230326575,59.48
59.49710850140824,56.94
57.027974053164805,56.93
57.02595011343593,52.48
52.70816635219401,52.33
52.336272182811456,51.61
51.63855695071292,52.76
52.61688981659528,52.74
52.917201310211844,52.19
52.25208147356411,53.05
53.090554623327336,51.4
51.39371864819667,50.9
50.98727421727088,50.88
50.89485976596122,50.11
50.05801056130918,50.59
50.66088260881344,49.27
49.33043602697371,48.11
48.204004836411016,47.98
48.02715398633118,47.17
47.12711513561939,47.97
47.98912295766732,48.77
48.74535640612508,48.53
48.54233000446936,47.11
47.27662567510909,45.25
45.35323081061577,45.75
45.68556788187907,45.13
45.07320822416642,44.69
44.77412855461032,43.87
44.00893523096381,44.94
44.858695489670254,43.11
43.174080137918814,43.22
43.29948282802757,42.27
42.32652713700524,42.45
42.375413988713795,41.93
42.01839415554588,42.58
42.54207158232452,40.75
40.864962455938546,41.0
41.03392488440181,40.45
40.45887323306933,38.22
38.27963741331588,39.15
39.23756321030495,38.5
38.416984569461874,42.47
42.29263570431668,45.29
45.17555272656242,49.2
49.023102205111684,45.38
45.69544120182767,46.3
46.327427117820086,46.75
46.54854856157375,46.02
45.791927765371305,45.92
46.17514526027781,44.13
44.168839430055044,45.85
45.76715856946816,44.75
44.75219538991196,44.07
44.14849086085966,44.58
44.67026176587455,47.12
46.854774982425006,46.93
46.94220589038273,44.71
44.952468753040016,46.67
46.65851017216751,46.17
45.957242755886064,44.53
44.64588486697827,44.94
45.105777213073395,45.55
45.354066341320554,44.4
44.4472888068306,45.24
45.341283157631956,45.06
45.01311445096255,44.75
44.74279236323585,45.54
45.58507875791416,46.28
46.17331212512354,48.53
48.431756116491464,47.86
47.904813876735396,49.46
49.44859686780773,49.67
49.62525431419363,47.09
47.14213663854679,46.7
46.86360265048781,46.63
46.491813109923044,46.38
46.316796661653385,47.3
47.38475547103594,45.91
45.974719935633594,45.84
45.90776649838872,45.22
45.24902343829807,44.9
44.8552155902446,43.91
44.0214133118123,43.19
43.23301484547077,43.21
43.223092216640175,45.93
45.76855839362845,46.02
45.991445138412665,46.6
46.69515275149339,46.12
46.20093805749051,47.88
47.6909637350144,46.32
46.35887852214965,45.27
45.37784383868696,44.32
44.415424120436285,43.87
43.76109960657584,44.23
44.25285053277835,42.95
43.02798638402587,41.74
41.88288595103997,40.69
40.76608346519157,41.68
41.57296651214644,40.73
40.762612406189035,40.75
40.84092573518805,40.55
40.61099348506439,39.39
39.38498603394856,39.27
39.34806989526464,40.89
40.7737899059377,41.22
41.149179744856475,40.57
40.70439898358469,40.43
40.51087883223113,40.58
40.486201477563185,39.93
39.92663754505802,41.08
41.07518422865358,40.0
40.02266536691623,37.64
37.7994205080053,37.46
37.553742157593234,37.16
37.0260702135546,36.76
36.78250393023106,35.65
35.82207196688757,36.31
36.29481937819565,37.32
37.22839373036411,35.55
35.63189423467636,34.98
35.155498045508224,34.72
34.68522121155133,34.55
34.45592504369013,36.12
36.11478707493398,36.76
36.71135866047706,37.62
37.62289235442415,36.36
36.471394265027314,37.88
37.79927973606317,36.59
36.572808863024655,37.13
37.10840885969335,36.81
36.87732033031236,35.97
35.93204462501653,33.97
34.16054747359766,33.29
33.31108283529352,33.2
33.15666100412072,31.42
31.48538366364474,30.42
30.592296632414246,30.42
30.42031950797106,31.22
31.111484206474188,29.45
29.586000529036433,28.47
28.634720365984524,26.68
26.75608983897695,29.55
29.333219426674177,32.07
31.890259473267136,30.31
30.43021972836152,29.54
29.85717667572276,32.32
32.07048360514913,33.21
32.90637752118453,33.66
33.76941350269065,31.62
31.8485989194075,29.9
29.937668233018222,32.29
32.124653417751794,31.63
31.478906734640574,30.86
31.0409729650166,29.71
29.91213992328409,27.96
27.923541419240212,27.54
27.58188507030008,26.19
26.220900829044076,29.32
29.19639549642619,29.05
29.018869679001085,30.68
30.683999348908316,30.77
30.86308282988466,29.59
29.5400001870384,31.37
31.36728677139394,31.84
31.665284761662797,30.35
30.4334702984759,31.4
