Estimate,Value
[134.66127241],116.61
[110.82472533],103.9
[99.93822186],76.65
[63.15478272],57.44
[45.9988302],41.02
[32.62638354],41.74
[44.91152108],39.16
[42.42038027],47.98
[56.08566357],49.79
[55.47722598],59.16
[65.90888763],69.68
[77.68330091],64.09
[63.94063053],71.06
[72.67917433],69.46
[70.34122839],75.82
[77.50897602],78.08
[79.90546965],74.3
[72.58626892],78.22
[78.17568981],76.42
[76.13758989],81.24
[81.92187763],84.48
[86.06855764],73.84
[69.93506464],75.35
[72.97212538],76.37
[77.05787207],76.82
[77.09234578],75.31
[74.75332647],81.9
[83.65609164],84.14
[85.97308746],89.04
[90.44999979],89.42
[89.66866313],89.58
[88.6299866],102.94
[106.46563924],110.04
[113.87638573],101.33
[97.49711398],96.29
[91.21902887],97.19
[95.69379291],86.33
[82.10194219],85.61
[83.17803504],86.41
[86.79918899],97.21
[101.20484348],98.57
[100.61621917],100.24
[100.24902579],102.25
[102.38490836],106.19
[106.96127074],103.33
[102.05785324],94.7
[90.41156291],82.41
[76.424047],87.93
[88.38913103],94.16
[97.82874408],94.72
[95.93453678],89.57
[87.80354361],86.66
[85.14664451],88.25
[88.84085349],94.69
[97.46470576],95.32
[96.31282627],93.05
[92.1039622],92.07
[91.33166199],94.8
[95.59780567],95.8
[96.34852573],104.67
[107.52812794],106.57
[107.59609775],106.29
[105.41211765],100.54
[97.61028206],93.86
[90.34253832],97.63
[98.16031196],94.62
[94.14228548],100.82
[102.52125865],100.8
[101.45719424],102.07
[102.13191094],102.18
[102.01102476],105.79
[106.5767996],103.59
[102.83759281],96.54
[93.51254118],93.21
[91.26065609],84.4
[81.56035265],75.79
[72.73726751],59.29
[53.92673662],47.22
[42.88679554],50.58
[53.62445548],47.82
[50.45573086],54.45
[59.32355746],59.27
[64.36768469],59.82
[62.35306486],50.9
[48.98331273],42.87
[40.06421718],45.48
[47.28041539],46.22
[48.50358212],42.44
[42.44668397],37.19
[35.9799986],31.68
[30.24555379],30.32
[30.57886892],37.55
[41.5940379],40.75
[43.77817531],46.71
[49.868937],48.76
[50.35750023],44.65
[43.15183215],44.72
[44.23341147],45.18
[45.44588089],49.78
[51.59365035],45.66
[44.53442742],51.97
[53.62912128],52.5
[53.22527958],53.47
[53.4775286],49.33
[47.59085375],51.06
[50.95107966],48.48
[47.68219961],45.18
[43.67399856],46.63
[46.90358346],48.04
[48.89325485],49.82
[50.66416524],51.58
[52.33360972],56.64
[58.40862111],57.88
[58.48722309],63.7
[65.26885326],62.23
[61.66274944],62.73
[61.8979781],66.25
[66.84960318],69.98
[70.96477187],67.87
[66.70332489],70.98
[70.97682154],68.06
[66.70390918],70.23
[69.95304846],70.75
[70.66866903],56.96
[51.79036467],49.52
[45.33617668],51.38
[51.9059598],54.95
[57.15535009],58.15
[60.12696881],63.86
[66.38046791],60.83
[60.26537979],54.66
[52.05365505],57.35
[57.8235554],54.81
[54.46197077],56.95
[57.62720575],53.96
[53.38000655],57.03
[57.94415874],59.88
[61.32150344],57.52
[56.97360777],50.54
[47.91154232],29.21
[21.27131465],16.55
[11.06218919],28.56
[34.40547452],38.31
[44.53150091],40.71
[42.97567497],42.34
