Estimate,Value
109.49054948795334,103.14
108.88630407915261,102.7
106.1444147771167,101.51
102.24328950808177,97.57
102.91785378246863,96.94
102.01436723065035,94.31
101.00206404041847,93.94
95.8554333034577,93.92
96.0853988811839,92.97
92.4391151636739,96.21
92.99179656150979,97.23
92.76085470871797,97.85
92.05721635762467,99.15
96.327372304936,96.47
97.31037493585512,92.42
98.10588827241412,92.98
99.69260461683557,96.19
95.93947220538028,97.29
91.33598063197284,97.78
92.45614513967739,100.21
96.54971251104936,102.93
97.51328998021587,102.77
98.21958530568557,103.07
101.0858452775757,99.55
104.23246240346748,99.77
103.47560489162493,100.66
103.94225436936654,100.46
99.03483211786163,102.72
100.02897172052305,103.95
100.71256817017682,102.11
100.57845399091526,100.51
103.40203898565908,100.29
104.58145350881931,101.92
102.08713495257382,103.82
100.28430908794478,103.95
100.1090411401891,103.23
102.22829112562336,105.97
104.3948180385213,107.23
104.31726712188077,106.69
103.38232017349806,105.52
106.92563750726525,103.25
107.9552956144451,102.37
107.18092222121484,104.35
105.62309270884312,102.19
102.80809404523656,97.5
102.01244977921051,97.17
104.58605240162882,94.95
101.53321733940085,96.25
96.06626640496594,94.06
96.33196359584547,92.43
93.42465839684459,93.52
95.84776049831399,93.15
92.67232738610511,91.44
91.40389324138573,87.63
92.91302451099455,82.88
92.46058863791248,82.12
90.52540099250392,81.29
85.93110347418502,78.24
80.56111972523348,76.5
80.40868686510349,75.38
79.56864668886136,72.36
76.09329458610291,67.18
74.59331585811609,61.14
73.52459278726026,55.89
70.09240864772248,55.58
64.0097191716379,53.44
57.122893666572736,48.77
51.313038605794574,47.07
52.29877929387534,46.46
49.79179694589513,45.32
44.6120506554844,50.58
43.507670952398136,51.14
43.391782332575154,51.69
42.51998635884228,49.16
50.339962605671545,50.38
50.29968824512336,47.69
51.637872047299936,44.39
47.93785375948519,48.68
50.33881513966333,48.91
46.30690382545423,51.78
42.80092040144937,54.78
48.938127064155445,56.14
48.46789723554213,57.98
52.801222332776724,59.73
55.88536789610238,60.01
57.501861166246,58.95
59.45340483023287,58.19
61.37890030055845,59.66
61.22540041548696,60.07
59.65735963928135,59.89
58.58808733737613,60.01
60.5209284585429,57.92
60.63962807031596,52.38
60.38862115284833,51.68
60.4049160346312,49.21
57.56573390849129,47.91
50.56191233301725,44.94
50.615913060734414,43.2
47.26578145718093,41.34
46.43851836823113,40.73
42.660633924250156,46.73
41.26944542237862,45.16
39.16113923182265,45.48
39.04492301619546,45.57
47.38479386411387,45.0
44.331614358554965,48.36
45.659179702959946,46.82
45.24907907657702,45.16
44.84799686912817,44.99
49.24358375669037,45.98
46.6314331974986,42.7
44.91390575389907,40.62
44.67927250808091,40.49
46.11340903760483,40.4
41.579835082141976,36.93
39.58269711339693,35.78
39.58650862420758,36.26
39.68538641596092,36.99
35.23876402810222,34.65
34.50188564376547,30.59
35.310637106213115,29.19
36.4544232171793,31.81
33.40141309745896,31.26
28.582046374058717,28.14
27.50711936593306,30.02
31.280685217285026,31.32
30.37058224967873,34.43
26.631747966613926,37.69
29.753639799172326,38.32
31.057010895772873,39.45
35.38214036505497,36.82
38.99219768093458,36.72
39.450725667090104,41.23
40.684202204057144,41.86
36.80716525115723,44.3
37.09776300826348,44.22
42.765337634334514,45.44
42.78811489186964,47.99
46.076184863692134,48.72
45.10413979011843,49.0
46.863299650753504,50.18
49.58994326888917,47.89
50.1090847717756,48.71
50.167766401756495,48.17
51.46537066018111,46.17
48.00804248401949,45.6
49.46200465176156,44.44
48.24235532140705,41.83
45.84105246590184,40.82
45.269365816805475,43.11
43.780943511203354,47.16
40.634224061612215,47.05
39.761397384969484,45.11
43.05321180433399,45.96
48.099959959532065,44.34
47.43241936794332,44.59
44.97545738857322,46.55
46.293372717373074,49.48
43.838584296650716,50.29
44.66117582177649,50.56
46.95522296077207,49.36
50.672912847279115,45.51
51.13757373617676,44.61
51.43143407749332,45.15
49.545933950581464,47.25
44.63694590834524,48.63
44.02165093882794,50.97
44.74324182715664,51.91
47.607424409764846,51.95
49.070410516084756,53.6
52.05843224846048,53.34
52.76657375880502,52.07
52.68730733150338,51.82
54.69725784805489,52.74
53.891972556420406,53.33
52.27841561780186,52.88
51.95825120537393,53.22
