Estimate,Value
76.72503567421035,79.22
72.84333696622046,80.19
73.3364308594268,81.76
72.72332377543457,81.44
77.54250280804081,80.65
78.14593264090105,83.01
79.47531247615403,85.66
81.41575395358765,84.34
81.23170275289075,82.9
80.53263740127102,84.22
83.8433578064528,80.24
86.97906934704545,74.98
85.46773905976421,69.14
83.30643776190713,70.62
86.05627040709419,72.91
79.47303932904794,73.44
73.24306032557008,76.7
65.31280151155629,77.06
68.59417672585786,74.96
71.49576096359165,74.39
72.77048809547908,76.35
76.83804131817502,77.56
77.30069430840986,78.12
74.84135744796387,81.79
73.66346576179149,78.17
77.08007935405367,74.84
77.56099793746905,72.91
79.12400619069977,74.02
83.0164255060188,74.82
78.23267872216285,75.62
74.29180607388656,73.76
71.41708358592476,78.41
73.54830094943765,82.29
74.05429717967259,82.16
76.10409171528566,81.15
73.1431707715975,82.03
79.66552183719118,84.93
83.82210300200657,86.91
83.36720161137636,82.23
81.99632313128747,82.28
82.95730816409338,86.75
86.50697635984413,88.5
88.544734032143,88.27
82.26650115137039,89.66
82.65429407535896,90.97
88.00222820173244,89.54
89.84627019031355,91.02
89.51595693038136,89.75
90.96150546773299,86.11
92.40943253395608,89.52
90.15247517937551,85.51
92.27185924311328,84.13
89.91099437893425,95.26
85.6808833300245,101.05
90.04591101322869,103.74
84.63292103716743,99.79
83.42240246378684,104.41
97.36547803764213,105.08
103.73071984294117,109.29
107.395062807426,107.75
101.00950779145113,109.11
107.63573544142197,112.3
106.68599182744957,105.84
112.80372559006179,99.87
109.19092913479047,97.99
111.55670232731084,99.55
114.52097690163282,100.92
106.0055142699097,100.05
98.83709267457931,95.87
96.37229178986044,92.7
98.846321261563,93.7
100.42153472700012,97.12
99.59647269226637,96.72
94.28880716331494,98.01
90.9244020869918,97.83
92.4015980781563,90.85
96.96914183856971,82.86
96.22010304249028,85.36
98.33990041109618,85.06
97.64639807692565,88.07
89.09244577172666,87.91
79.58919621463244,88.93
83.76880186709553,83.65
82.88368574942699,81.18
87.82005860349484,79.43
86.942986454056,85.35
88.98204437459759,86.82
81.7962298603833,92.32
79.81338594375354,93.24
77.44473839074676,96.97
85.48953961604383,99.32
86.87428367260749,96.89
93.88671076344049,99.91
94.87222622511736,100.08
99.9276148243817,96.06
102.97008052077985,97.74
99.98546733109977,99.81
104.54908751930704,102.39
104.39596259032707,100.43
96.30788714821777,99.95
98.40370684872187,99.35
100.7016928443624,97.8
103.70222085561748,98.56
100.88491570971604,101.73
100.42893991360205,107.18
99.51249886614521,107.52
