Estimate,Value
102.24783152588432,103.14
103.61216923304188,102.7
101.98175210168309,101.51
101.72568579689478,97.57
96.37907524856821,96.94
97.16877480449115,94.31
93.16096622633044,93.94
94.07480630294663,93.92
93.26135901281214,92.97
92.88886763494799,96.21
96.32146790670097,97.23
97.38293421490005,97.85
97.81047659906866,99.15
99.57179470422302,96.47
95.8650537181285,92.42
92.09555252040174,92.98
92.8015381004655,96.19
96.66067539230352,97.29
97.17254297890014,97.78
98.11702935697656,100.21
100.49185544846024,102.93
103.5911863854188,102.77
102.74721076084984,103.07
103.52650816792284,99.55
98.95085883302295,99.77
100.13177673791037,100.66
100.5856649782609,100.46
100.52635971403465,102.72
103.08941818093433,103.95
104.1471805431354,102.11
101.93938617432754,100.51
100.40072116671861,100.29
100.24379482122133,101.92
102.1413873420102,103.82
104.08166432186454,103.95
104.01156232836634,103.23
103.23961164867974,105.97
106.49532513255437,107.23
107.42644010453236,106.69
106.77306167503596,105.52
105.50246175346973,103.25
102.92822526490367,102.37
102.31400320947422,104.35
104.55004649956074,102.19
101.75985291783327,97.5
96.76921128614136,97.17
97.1000988064615,94.95
94.19688563100702,96.25
96.42289026690725,94.06
93.31842741981666,92.43
92.1522979064994,93.52
93.45897994608367,93.15
92.8207684873655,91.44
91.12380404452082,87.63
86.79820262207971,82.88
81.99726746477911,82.12
81.65188620043628,81.29
80.7353590160213,78.24
77.34578164043289,76.5
75.98004222679023,75.38
74.70349225186753,72.36
71.54297773901496,67.18
65.8749009521834,61.14
59.698139428962754,55.89
54.26387822091264,55.58
54.83524990369116,53.44
52.10467604606028,48.77
47.35360025758721,47.07
46.0564589776034,46.46
45.56221171465975,45.32
44.445518941991516,50.58
51.05138804173116,51.14
50.659967676234444,51.69
51.83248542383489,49.16
48.53680903454545,50.38
50.57577254931394,47.69
47.01870140967174,44.39
43.717152876844835,48.68
49.33741393078003,48.91
48.40875081762615,51.78
52.57778408357422,54.78
55.03424711167061,56.14
56.708081336606554,57.98
58.438541657586185,59.73
60.356368542699414,60.01
60.275993868376545,58.95
59.12101357869702,58.19
58.23794080785468,59.66
60.090565980019086,60.07
60.15398667060443,59.89
60.068050236751645,60.01
60.10854270242161,57.92
57.64517903294267,52.38
51.448525414089616,51.68
51.54377665290209,49.21
48.34651236897866,47.91
47.521902830352644,44.94
44.03170196218226,43.2
42.595387746172946,41.34
40.62048184478375,40.73
40.195632565905896,46.73
47.527673990079236,45.16
44.41032555564314,45.48
45.86151286306575,45.57
45.299250542101056,45.0
44.997616798386595,48.36
48.89191166118364,46.82
46.46666970231658,45.16
45.12011355616083,44.99
44.87387330921629,45.98
46.110631897888496,42.7
42.05285859754916,40.62
40.30727449364937,40.49
40.252098810590844,40.4
40.143321918937914,36.93
36.199810450888464,35.78
35.415301360418084,36.26
36.066087631968,36.99
36.8091368802057,34.65
34.146100862823204,30.59
29.69252164933021,29.19
28.814319950729008,31.81
31.783897415021357,31.26
30.92986523639203,28.14
27.421389449676017,30.02
30.322412229365952,31.32
31.101142569973916,34.43
35.091542921748385,37.69
38.109547694882146,38.32
38.69680972814572,39.45
39.85945214590999,36.82
36.57374681269536,36.72
36.93205856612175,41.23
42.052077332220634,41.86
41.93355001069866,44.3
45.16399224430473,44.22
44.25265980461896,45.44
46.089938997063456,47.99
48.54239722787672,48.72
49.124433497516314,49.0
49.36728364774951,50.18
50.630055371518466,47.89
47.68636039973975,48.71
49.12014896715104,48.17
48.05865604296613,46.17
45.944236217426656,45.6
45.56542602137043,44.44
44.07922145554623,41.83
41.3854083779111,40.82
40.44910936820869,43.11
43.36412594071158,47.16
47.605015757792444,47.05
47.081744180989844,45.11
44.9069518041747,45.96
46.26348516476659,44.34
43.900454151420696,44.59
44.82505170324968,46.55
46.70335713118376,49.48
50.078071714278295,50.29
50.45488131450388,50.56
50.88464825541622,49.36
49.26510194528305,45.51
44.98814585983538,44.61
44.515289446567685,45.15
45.04162586300218,47.25
47.53530201200249,48.63
48.788409642511866,50.97
51.469611909439664,51.91
52.154219895543065,51.95
52.1486627716873,53.6
54.09760126811297,53.34
53.35450763161967,52.07
52.1098576303268,51.82
51.83720555251504,52.74
