Estimate,Value
102.28032920990961,103.14
103.6456224583479,102.7
102.01490660030234,101.51
101.75884706223836,97.57
96.41060575331531,96.94
97.20088546573402,94.31
93.19158554005912,93.94
94.105904709723,93.92
93.29241535731275,92.97
92.91941888306482,96.21
96.35392711147922,97.23
97.41529400924884,97.85
97.84264797582156,99.15
99.6042217069731,96.47
95.89587286987886,92.42
92.12467390218686,92.98
92.83132710174446,96.19
96.69207300394896,97.29
97.20384010817662,97.78
98.1483324187869,100.21
100.52376055138302,102.93
103.62356396913907,102.77
102.77904868850135,103.07
103.55834659824325,99.55
98.981593463675,99.77
100.16314566886521,100.66
100.61734204524333,100.46
100.55792659956606,102.72
103.12188626375526,103.95
104.17970354633161,102.11
101.97130869756377,100.51
100.4323715842337,100.29
100.27557017411341,101.92
102.17391218613669,103.82
104.11457948005389,103.95
104.04431288490713,103.23
103.2721079458448,105.97
106.52875883392763,107.23
107.45980053561699,106.69
106.80617652993868,105.52
105.53538587337601,103.25
102.96070163403462,102.37
102.34658424640742,104.35
104.58357567019632,102.19
101.79240051369777,97.5
96.80025073458545,97.17
97.13175772905203,94.95
94.22740085345693,96.25
96.45459440689643,94.06
93.34878063932575,92.43
92.18200277156568,93.52
93.48955715829015,93.15
92.8507399179955,91.44
91.15288821545327,87.63
86.82506900328532,82.88
82.02160216126613,82.12
81.67639435969608,81.29
80.7594805522836,78.24
77.36787674463118,76.5
76.00143494081144,75.38
74.72427207220797,72.36
71.56175696818329,67.18
65.8900267136829,61.14
59.709117012468695,55.89
54.271362001629974,55.58
54.84396789605624,53.44
52.112032905664776,48.77
47.35778186885767,47.07
46.06034646980172,46.46
45.566427338025164,45.32
44.44947083241141,50.58
51.06054091595437,51.14
50.66904761861077,51.69
51.84210833619991,49.16
48.54431200452608,50.38
50.58448927983748,47.69
47.02530244502325,44.39
43.721805021480804,48.68
49.345596172551225,48.91
48.41655889357293,51.78
52.58779287890941,54.78
55.04558059794269,56.14
56.71998433609944,57.98
58.45108039692119,59.73
60.36956386001707,60.01
60.28891753320609,58.95
59.133153473991904,58.19
58.24956362537504,59.66
60.10302246792962,60.07
60.16643201167124,59.89
60.08034176136839,60.01
60.12082812091593,57.92
57.656200049089634,52.38
51.45639030125787,51.68
51.55186639491767,49.21
48.3530971199042,47.91
47.52820671927201,44.94
44.03628220935125,43.2
42.59939088772685,41.34
40.62362122292708,40.73
40.1988452302535,46.73
47.53547796138356,45.16
44.41644383762956,45.48
45.86828079286611,45.57
45.30579876481931,45.0
45.00392967218223,48.36
48.900384816384914,46.82
46.47378148263715,45.16
45.1263447718109,44.99
44.88001967956551,45.98
46.1174768317363,42.7
42.05752182069523,40.62
40.31100614457985,40.49
40.25596281545428,40.4
40.14727725473114,36.93
36.20165501349326,35.78
35.41686868712415,36.26
36.06821805585861,36.99
36.81187427356619,34.65
34.147404442356404,30.59
29.691459735296093,29.19
28.812923904266857,31.81
31.784498836662774,31.26
30.93011516262413,28.14
27.419793107557844,30.02
30.32252673625904,31.32
31.101911846343672,34.43
35.09448815951173,37.69
38.11415342371642,38.32
38.701519928562234,39.45
39.86459219861826,36.82
36.576988586687186,36.72
36.935385519766186,41.23
42.058059449793106,41.86
41.939393873443706,44.3
45.1712407528776,44.22
44.25933346883794,45.44
46.097299276899875,47.99
48.550870748542856,48.72
49.132974698380735,49.0
49.37575052860845,50.18
50.63897856949815,47.89
47.69372771888193,48.71
49.128128679187654,48.17
48.06610201066277,46.17
45.95056357414901,45.6
45.57157102107883,44.44
44.08468578930469,41.83
41.38949716697183,40.82
40.45286125573568,43.11
43.36956057805891,47.16
47.61280693002009,47.05
47.08917087947256,45.11
44.91313366725007,45.96
46.270312590206615,44.34
43.90610197936991,44.59
44.83112387424178,46.55
46.71048211879711,49.48
50.08684752667633,50.29
50.46374604470823,50.56
50.893544366064624,49.36
49.27310245490397,45.51
44.99392203546528,44.61
44.520864715411875,45.15
45.04759383050357,47.25
47.54261781678396,48.63
48.79637686798377,50.97
51.47884410115433,51.91
52.163684288707344,51.95
52.15797848958681,53.6
54.10773371523301,53.34
53.36419204680826,52.07
52.11880485961922,51.82
51.84599998998117,52.74
52.97939832378668,53.33
53.43068606512495,52.88
52.913790228665796,53.22
53.34895373800035,54.03
54.22567491234531,53.56
53.50863001914802,50.5
50.055311565472216,48.03
47.611878841146506,47.28
47.018032114507875,49.14
49.2659285313048,51.26
51.486227189703726,53.19
53.50282464352513,51.09
50.784681373039845,49.12
48.914518248754526,47.21
46.84293635470749,47.04
46.89580485714031,49.24
49.53601478619859,50.21
50.19126008533561,48.48
48.285200308503214,46.57
46.21088633932548,45.3
45.07615175951348,43.09
42.481624682623035,44.63
44.88331174399734,44.96
44.66568420478712,45.51
45.67000267824167,46.41
46.4368114184272,48.27
48.6506058547455,49.52
49.7386966849066,49.08
49.132446649283466,47.52
47.37302855815298,47.68
47.79469179679132,46.68
46.45641329314552,48.58
48.984431668864204,49.07
49.06840847782934,50.12
50.42087570292645,51.77
52.14504471390462,50.23
49.990773829913145,50.77
51.14752294013309,51.74
51.8198530239769,52.51
52.82098720087884,54.59
55.011219813531824,57.05
57.6505034414799,55.81
55.71650201138044,57.47
58.134695063533385,57.81
57.8764794259404,56.92
57.03516973520359,57.17
57.35479979868024,57.87
58.0579668267153,59.88
60.36861194012293,61.36
61.68781147425041,63.26
63.841501440148626,63.77
64.01583938696477,65.14
65.69521605046349,65.32
65.50901689342592,62.01
61.6575549779956,60.56
60.5157981729323,62.47
62.7599172838269,62.07
61.91926945194384,61.65
61.68971614808292,61.28
61.19791757340846,64.11
64.6519668647473,64.97
65.06842153494958,63.07
62.88161545554823,66.02
66.75355553570482,67.55
67.6930146672391,67.91
68.27108972684024,68.38
68.58552474892433,70.56
71.16150207160298,71.3
71.53317607870595,70.98
71.19154416498829,66.96
66.39168633872292,65.35
65.25410295655394,66.21
66.24636017628825,66.32
66.20612806923984,74.03
75.52176723918116,73.73
73.42726762436428,71.96
72.2549370044309,68.95
68.47868481684753,70.01
70.36900184433881,69.46
69.25052495526086,67.9
67.65915724600994,66.15
65.89405344328242,68.1
68.30099163116705,69.66
69.88601240045469,68.51
68.20062733439546,68.96
69.28601832223828,70.28
70.31855137565253,72.84
73.50156243346352,75.13
75.46008277911346,72.96
72.8721028518171,70.24
69.90686190740107,67.43
67.08205002700477,65.06
64.47386913266912,61.57
60.88709017164344,56.92
55.73377905121914,54.99
54.464897382077666,51.01
49.62101087256314,52.63
52.73604184759085,51.54
50.59730651943174,46.98
46.023038925943716,45.22
44.52130877708677,47.0
46.89918076968074,50.78
51.062658180800156,51.92
51.9214391061932,52.88
53.09583772337675,53.63
53.79230808114541,53.53
53.56262548977774,53.88
54.0667999851132,56.74
57.3067485144905,56.12
56.04977245882525,56.35
56.62510152023751,57.81
58.171920795199895,59.44
59.80235675787583,59.49
59.695546431321745,62.36
63.05792271086025,64.1
64.57563974272568,63.8
63.953337486246326,65.28
65.92289247632384,62.9
62.47676940699617,61.81
62.008861584158176,62.1
62.048170079505994,60.72
60.548817703650386,56.93
56.188181546532135,52.97
52.2368579193321,52.52
52.187060054301526,54.75
54.86769325335053,58.38
58.801194857089754,57.32
57.03749187167613,59.02
59.50138547059506,56.74
56.23638886772491,56.05
