Estimate,Value
46.783835204006245,44.87
47.34133889760981,45.64
45.22600864787724,45.93
45.34730298025878,45.23
44.67592056525419,44.64
46.721540760605876,44.96
44.94077559768146,43.96
45.66127853354984,43.41
45.87043644799104,42.4
45.27626038733849,42.16
44.669540264797455,41.9
44.918336267071204,41.13
43.97466899232008,41.54
43.42602919742253,40.05
42.39612360183369,39.5
42.12908812823006,40.8
41.86274289752957,41.92
41.13709789283217,41.83
41.50170272960988,43.06
40.07860569400399,42.78
39.51162499079622,41.75
40.689915646955704,43.51
41.85912691707499,44.47
41.88753350967578,45.72
43.064252506603765,46.57
42.81257204283517,46.81
41.834037070500315,48.2
43.43164181340808,48.48
44.4145360856985,46.8
45.74204154128665,47.54
46.6024222379275,46.29
46.86972022274984,46.97
48.198007549517186,47.64
48.50649672851577,46.97
46.92291459447071,46.32
47.51603629912263,44.68
46.28595413691817,43.17
46.94495418811411,44.39
47.578922214295574,44.85
47.0191248539823,45.47
46.36532600131308,47.63
44.71392836163282,45.88
43.17641131789853,46.28
44.25834432679155,44.91
44.77478516639321,43.62
45.482412367579904,43.85
47.58120035570591,43.04
45.99858079668165,43.34
46.33220970539535,43.85
44.919628542304224,45.33
43.657991081308516,46.1
43.77689081955087,44.36
43.01420829151007,45.6
43.315808730703495,44.65
43.80335393175109,47.07
45.28487109737144,47.72
46.107801550779676,47.72
44.493064930388215,48.8
45.574559852405386,48.67
44.64394002678801,49.75
47.00093410807099,50.44
47.694555298455825,49.76
47.81028641221736,49.76
48.80087975107785,50.72
48.695971683752724,50.14
49.749898563493936,50.47
50.43106018623539,50.35
49.83448400015157,49.97
49.786228211759095,50.3
50.66600498251022,51.59
50.169220028315344,50.31
50.48578294558463,50.61
50.34411432936406,50.18
49.992105717915855,49.45
50.28063586631053,48.75
51.53089824274964,49.71
50.38252161298176,48.72
50.63369100359674,46.83
50.16251206197821,46.66
49.475730679709315,45.32
48.7522069636959,44.66
49.63525841500296,44.07
48.736084317478394,44.88
46.917858628974344,44.96
46.612539382181446,45.2
45.28930135160463,44.62
44.64425959972587,43.39
44.02706793958865,43.29
44.806232778233316,45.86
44.93718986101983,45.56
45.21653448096149,45.37
44.65240170131705,45.69
43.43864099065734,47.48
43.25875164546783,48.07
45.71306869315718,46.72
45.58749430117656,46.72
45.46702270710675,45.66
45.68435041182198,45.29
47.41251325782942,49.41
48.081116262820636,51.08
46.84714420339464,51.7
46.74133692093862,51.72
45.65661015782369,50.95
45.282031237214284,49.85
49.208097832384276,50.84
51.0396219925491,51.51
51.84331454239049,52.74
51.81871486891688,52.99
51.02058168911002,51.01
49.892410090618746,50.9
50.76509918921376,51.93
51.449523281467414,52.13
52.72689571811696,52.22
53.02275730738275,51.44
51.13818609907675,51.98
50.90423058885857,52.01
51.82231043526556,52.82
52.114411395483465,54.01
52.25173520187632,53.8
51.484811376395086,53.75
51.95798105454571,52.36
51.987275184087345,53.26
52.802936450598615,53.77
53.97597149342285,53.98
53.84906334799076,51.95
53.79860296484892,50.82
52.415596485612305,52.19
53.211125575587516,53.01
53.708862443219424,52.36
53.9982425343371,52.45
52.053429281024805,51.12
50.85802697846258,51.39
52.05744264309569,52.33
52.935002708858214,52.77
52.42926064282762,52.38
52.47770408286547,52.14
51.158020650004275,53.24
51.368373540783146,53.18
52.24839182853337,52.63
52.75981071060723,52.75
52.43176834243645,53.9
52.16867431093618,53.55
53.18555426592676,53.81
53.18090937559932,53.01
52.68771965081433,52.19
52.74642546415521,52.37
53.837237885025345,52.99
53.57345033034785,53.84
53.83736646444275,52.96
53.04016476465153,53.21
52.22456243808469,53.11
52.330131860197206,53.41
52.93251444751984,53.41
53.80994551320949,54.02
53.023072752566286,53.61
53.22741419948006,54.48
53.092485684819195,53.99
53.400982685730796,54.04
53.40961017747187,54.0
54.00549742353262,53.82
53.63316804145303,52.63
54.46374472881812,53.33
54.00666011066736,53.19
54.06242699587549,52.68
53.99093613523708,49.83
53.826288509075695,48.75
52.674674751372294,48.05
53.28618565048799,47.95
53.15822974515024,47.24
52.71462136566142,48.34
49.93807019648323,48.3
48.75201750363018,48.34
47.96497754886094,47.79
47.88803938652247,47.02
47.22883771179358,47.29
48.2796520212621,47.0
48.28334018550632,47.3
48.37068413245374,47.02
47.81744255440467,48.36
47.048197164018895,49.47
47.25453741891995,50.3
46.98267714794291,50.54
47.288677119482145,50.25
47.02389518751425,50.99
48.31364446862482,51.14
49.429712306077406,51.69
50.32198883041682,52.25
50.586049944227625,53.06
50.3024809394351,53.38
50.97583670406613,53.12
51.13396457420766,53.19
51.69454108863361,52.62
52.243707202932576,52.46
53.05538951944509,50.49
53.399173580598124,50.26
53.1664277873907,49.64
53.203587486099906,48.9
52.637339430245675,49.22
52.46255793105273,49.22
50.54415504049647,48.96
50.2415984966865,49.31
49.59012426372651,48.83
48.89856981348168,47.65
49.17423664363725,47.79
49.19101699581899,45.55
48.974218151391796,46.23
49.295368033167364,46.46
48.84234819185743,45.84
47.700526961672175,47.28
47.75922732008673,47.81
45.5900091244106,47.83
46.17865318888717,48.86
46.377586358788584,48.64
45.872327823560646,49.04
47.22956018671172,49.36
47.7837139188289,50.32
47.881017961685906,50.81
48.850425026715484,51.12
48.66487904566413,50.99
49.06097214206873,48.57
49.35213932896227,49.58
50.301715837638426,49.63
50.81572247543581,48.29
51.15072294223279,48.32
51.02328289192578,47.68
48.67550436877469,47.4
49.51778072975117,48.13
49.551745482101644,45.8
48.35847843720328,45.68
48.311337979509226,45.82
47.657358048470016,46.1
47.39532307702368,46.41
48.075279941649875,44.79
45.87879034671872,44.47
45.68402332386334,44.73
45.734481402770776,44.24
46.07004673258471,43.34
46.40187481786289,42.48
44.863790685173534,42.53
44.47915447114581,42.86
44.661713349216434,43.24
44.237610255150116,44.25
43.37291849660675,44.74
42.48589292160332,44.88
42.48329599428709,46.02
42.80953896554529,45.11
43.22278868380429,45.52
44.22685319623729,44.25
44.747884692430866,44.4
44.91946724242573,45.06
46.005729987660665,45.48
45.16573274271778,46.06
45.538926768018094,46.53
44.277629770904376,46.02
44.39131575188922,46.4
44.99348843486119,47.1
45.46722044644228,46.73
46.06551536291723,45.78
46.53828063465029,46.21
46.06852841325446,47.77
46.40284212902755,48.58
47.06426072109006,49.05
46.761536105476154,49.72
45.8389325027313,50.21
46.17701147361127,49.19
47.6804868622504,49.6
48.57303262551645,49.03
49.098088449186626,49.57
49.74134249299968,49.37
50.22456237540429,49.07
49.26191786093734,49.59
49.59844233330389,48.54
49.02355080531788,48.81
49.5523901678796,47.59
49.364081161435294,47.57
49.09447953033975,46.8
49.56385309777542,47.07
48.57246298026101,48.59
48.80564624158709,47.39
47.60361338406912,47.65
47.560816032507326,48.45
46.78493269078735,47.24
47.04233860668865,47.65
48.50689827801232,46.4
47.45333375589076,46.46
47.683309634429115,45.96
48.39148411489316,47.26
47.29586088764278,47.32
