Estimate,Value
103.07995773339408,102.2
102.16026936986587,102.93
102.97579783542962,102.68
102.70853371555481,102.88
102.86963960013708,105.34
105.32170214825398,103.64
103.61349520707992,101.75
102.00934841060862,101.82
101.89078456020997,102.82
102.55831686195124,101.39
101.48740089882114,100.29
100.54489348809042,98.29
98.39833361558028,98.57
98.51795519590941,99.23
99.19801226450888,98.43
98.4817807908703,100.08
100.20203684808587,100.71
100.62585945452507,99.68
99.72458780191073,99.97
100.12094918747957,100.05
99.94831383440976,99.66
99.64571005851323,100.61
100.67366374695884,101.25
101.18794710521217,101.73
101.73206069286401,101.57
101.65006609818964,99.69
99.77244275535917,99.6
99.65906427179901,100.29
100.19210011779145,101.16
101.0855757533001,100.43
100.57676192371811,102.57
102.58375280422165,103.55
103.42058390265942,103.37
103.37705586715511,103.68
103.82321924441491,104.05
103.94793197567718,103.7
103.67736891439884,103.71
103.77495934863396,104.33
104.30808464744949,104.35
104.32350771979115,101.69
101.85896574545549,101.47
101.60561814533163,102.2
102.07419625652818,100.85
100.82774980864426,101.13
101.35443509789992,101.56
101.5380499605891,100.07
100.07401027824922,99.69
99.87422382529127,100.09
100.05071828986128,99.74
99.68901291806515,99.81
99.92875237328876,101.06
101.04861923021656,100.52
100.49339245446635,100.32
100.43436508860968,100.89
100.90324071506859,102.01
101.87912332107952,102.63
102.63596073883268,101.74
101.84184978655588,102.31
102.3580386435745,102.95
102.8492637592787,102.8
102.7715735354735,104.31
104.3643670680123,104.03
103.99183186233067,105.01
105.01922557895546,104.78
104.81444066945836,103.37
103.40219064555257,104.26
104.32602849907721,103.4
103.3172314640899,103.07
103.14629609505265,103.34
103.4309940452974,103.27
103.20530036999475,103.17
103.24847609258642,103.32
103.36236793393005,105.09
105.01739251738817,105.02
104.99334818607602,105.04
105.13806725574337,107.2
107.16844085639447,107.49
107.33119890175132,107.52
107.61653564837698,106.95
107.05695486592879,106.64
106.58461423741964,107.08
107.06094572772615,107.95
107.89813555026463,106.83
106.90909059257393,106.64
106.7686120491944,107.04
107.01038122200646,106.49
106.4407389027665,106.46
106.57514457494798,106.07
106.11021349822423,106.06
106.06107933389373,105.18
105.25413304276897,104.76
104.82171896567252,104.19
104.23901581615398,104.06
104.07150712776811,102.93
103.01931125482055,103.61
103.64831363635435,101.48
101.55166649934827,101.73
101.81785293130504,100.56
100.62151754839952,101.88
101.80695667122312,103.84
103.8207589244019,103.83
103.7939298126646,105.34
105.47016274489361,104.59
104.56745307561425,103.81
103.83613464645917,102.76
102.85935419718604,105.23
105.05961254695949,105.68
105.58807875224237,104.91
105.05517481786812,104.29
104.49658379237036,98.23
98.36106717634526,97.86
98.0322688285411,98.26
98.09201802089945,97.34
97.26973584142938,96.93
97.33105488299898,97.34
97.35438838334956,97.61
97.54985803785789,98.09
98.13863161851768,97.36
97.43464936118642,97.57
97.60801263530934,95.54
95.60333971820347,97.3
97.28291655483469,96.44
96.4095341313424,94.35
94.4878251805146,96.4
96.52479604472488,93.97
93.83298237099235,93.61
93.79997832324679,95.39
95.41480273687071,95.78
95.55062723693042,95.82
96.01375223197165,96.44
96.50551367870122,97.86
97.71729267249594,92.92
93.09877809734449,95.5
95.63772414105864,94.51
94.30264964902273,93.32
93.33839199126905,92.64
93.0161866933871,92.73
92.561588927053,91.71
91.77307154313146,92.89
92.94623857820679,92.18
92.19265212914446,92.86
92.89041229942947,94.91
94.87413479217219,94.33
94.25404678138099,93.07
93.29323678824919,92.43
92.502675806847,91.46
91.36972496711067,91.55
91.57867106731506,93.6
93.5492054596861,93.59
93.56126678996888,95.55
95.61841956373692,94.53
94.56649376232035,91.17
91.32517763131936,90.74
90.88991147202881,91.02
90.78984727423564,89.76
89.7977113306394,90.33
90.55536388345146,88.89
88.93329696206432,87.29
87.40459349243432,85.76
85.92082262902507,85.87
85.81366051784191,85.73
85.74023209954292,81.72
81.96831046689896,81.82
82.04297294187286,82.33
82.16021085344772,82.8
82.70913489793186,82.76
83.00130015101495,83.25
83.27022844290192,80.52
80.61468166027254,82.81
82.81024103216293,81.27
81.18840337881402,81.26
81.32930228861576,81.36
81.50956137629335,82.25
82.06759053611712,81.06
81.18664129994329,80.53
80.64300393825525,78.77
78.84685083944636,77.15
77.19687725223487,78.71
78.69899475721331,77.87
77.80310834297234,78.71
78.83699013144633,77.43
77.56251458431932,77.85
77.81657642964439,77.16
77.20725779947391,74.13
74.24065147438196,75.91
75.99520840771503,75.64
75.45916501517578,74.55
