Estimate,Value
100.38660404220427,102.2
102.37103103698865,102.93
103.32688241110849,102.68
103.32543669513939,102.88
102.56073108643814,105.34
103.03645467937217,103.64
102.32680262573602,101.75
102.94131586576302,101.82
102.56523378388343,102.82
102.93701270007823,101.39
105.23469440946327,100.29
103.62439697615575,98.29
101.98221252306578,98.57
101.81948057069322,99.23
102.62961065543958,98.43
101.5811615352624,100.08
100.43338361918482,100.71
98.2584754578056,99.68
98.62472682999753,99.97
99.24667623502349,100.05
98.44915218619073,99.66
100.01697268010959,100.61
100.68778156456497,101.25
99.71817577443018,101.73
99.96877630247444,101.57
100.03041751429352,99.69
99.6907060204555,99.6
100.56138612558682,100.29
101.17491485705233,101.16
101.74880310715491,100.43
101.6188321974336,102.57
99.77928366498725,103.55
99.63169107015439,103.37
100.21844241539864,103.68
101.1057496739667,104.05
100.50374101884934,103.7
102.42595537233062,103.71
103.43531494514016,104.33
103.46188758022909,104.35
103.65678574358321,101.69
103.94024392878858,101.47
103.79224760300008,102.2
103.7400606810404,100.85
104.19481837400788,101.13
104.36376358358748,101.56
101.93030268571748,100.07
101.42505999647274,99.69
102.09906009885229,100.09
101.03867054519307,99.74
101.11458921588277,99.81
101.40941507722096,101.06
100.26780625975704,100.52
99.77121907797002,100.32
99.9066851223279,100.89
99.83226621003497,102.01
99.89025537652954,102.63
100.88976043407914,101.74
100.56907322110264,102.31
100.48353047255799,102.95
100.70875979055654,102.8
101.90512994706603,104.31
102.73997323223705,104.03
101.71945426124952,105.01
102.2620795808752,104.78
102.88386430724172,103.37
102.8023997894895,104.26
104.22841649362203,103.4
104.07847553088341,103.07
104.99970775972118,103.34
104.78789353855119,103.27
103.50613769781447,103.17
104.26459717755677,103.32
103.335009094119,105.09
103.16400647754327,105.02
103.31586324535617,105.04
103.21076126106881,107.2
103.22684992980463,107.49
103.35603819476641,107.52
104.89013420953009,106.95
105.03090943251058,106.64
105.1388030363297,107.08
107.00437342102607,107.95
107.43737589667506,106.83
107.66946876380293,106.64
106.89675340653517,107.04
106.59783133374985,106.49
107.17297667851415,106.46
107.8479169776253,106.07
106.83032759850241,106.06
106.6998443255267,105.18
106.96115149800649,104.76
106.45707546946126,104.19
106.57798883924337,104.06
106.05609313719428,102.93
106.06026269891015,103.61
105.31790082953238,101.48
104.7970008350985,101.73
104.21047796221644,100.56
104.13393048797097,101.88
103.0104125190555,103.84
103.50280969561146,103.83
101.61988973424643,105.34
101.7426864474679,104.59
100.51625226999352,103.81
101.82881996241426,102.76
103.75639298307402,105.23
103.77325870244297,105.68
105.27314671980538,104.91
104.57045162649898,104.29
103.86741720034959,98.23
102.81101309062866,97.86
105.07351097392251,98.26
105.65441844410097,97.34
105.05400542576463,96.93
104.31132943299406,97.34
98.57090382914724,97.61
97.99921215118704,98.09
98.09516052116278,97.36
97.43458085969762,97.57
97.0812433866984,95.54
97.17295868781589,97.3
97.61297121854076,96.44
98.19846343614662,94.35
97.30517573090853,96.4
97.52518512216906,93.97
95.76676254979282,93.61
97.15067843958775,95.39
96.44881451008146,95.78
94.65329243901607,95.82
96.24766155713814,96.44
93.94136243751541,97.86
93.83063780662057,92.92
95.16893050085042,95.5
95.64106560309793,94.51
96.04294642381915,93.32
96.31981617220681,92.64
97.67702954253218,92.73
93.40132427763248,91.71
95.3357915620962,92.89
94.33034209113293,92.18
93.60052370950503,92.86
92.76289377525849,94.91
92.43638889794666,94.33
91.96704444500811,93.07
92.8228657847909,92.43
92.0959955815798,91.46
92.89980341805654,91.55
94.79359454570194,93.6
94.27056360188038,93.59
93.32021746379436,95.55
92.40693334948635,94.53
91.43777083314839,91.17
91.62695239384118,90.74
93.41643729185532,91.02
93.54937021182026,89.76
95.53287901773224,90.33
94.55124568558956,88.89
91.42710028604291,87.29
90.80337485340857,85.76
90.82963220989112,85.87
89.93273499445203,85.73
90.35109346169615,81.72
88.85847568079986,81.82
87.47493510784362,82.33
85.88384251585298,82.8
85.73189968230763,82.76
85.78552386955181,83.25
82.04499569376313,80.52
81.77766798060414,82.81
82.1570297519151,81.27
82.85484503243181,81.26
82.8262594831271,81.36
83.11028442426645,82.25
80.77077902903527,81.06
82.67604763229849,80.53
81.25293010941223,78.77
81.36583269422964,77.15
81.36932857863816,78.71
82.04022151580347,77.87
81.29547549580597,78.71
80.54701726965986,77.43
78.82348364990268,77.85
77.28444453325217,77.16
78.60249769114344,74.13
77.82543841791706,75.91
78.78209204477567,75.64
77.47732059215393,74.55
77.77673869840011,74.55
77.25669170867168,75.63
74.32736224005463,76.52
75.77697167306586,75.74
75.55065911425486,74.04
74.75687254678878,73.7
74.54969710445282,65.94
75.40796735856797,68.98
76.56482259662197,66.99
75.83602932213995,67.3
74.11143405270415,66.73
73.71629765919444,65.89
66.48554255932926,63.13
68.74863138967932,63.74
66.9162669846188,60.99
67.57024215685787,60.01
66.84048762115046,57.81
65.79843641366071,55.96
63.53238671158882,55.97
63.67073464968067,56.43
60.94931976914975,54.18
60.16880063396931,56.91
57.92190280572124,55.25
55.93234043951272,56.78
56.07731698435431,55.7
56.4311633818233,54.59
54.38557874351875,53.46
56.72320804466713,54.14
55.30183478153078,53.45
56.67321662426174,52.72
55.734324278584566,50.05
54.74549037156022,47.98
53.48661271169551,48.69
53.9535061815608,48.8
53.554498618575664,48.35
52.787019958625805,46.06
50.242657136078606,45.92
48.04155123536814,48.49
48.650135922412105,46.37
48.717899378553014,48.49
48.461913145415345,46.79
46.21684549650456,47.85
45.87431411776181,45.93
48.27146680395654,45.26
46.56956541375555,44.8
48.355626046923035,45.84
46.77990451824024,44.08
47.82102807078047,44.12
46.13086027087409,47.79
45.184541474942755,49.25
44.89825052933924,53.04
45.686503161247856,48.45
44.27868197595864,50.48
44.0852139030764,51.66
47.49677678528921,52.99
49.11659947712001,50.06
52.92656337748881,48.8
48.72619633069548,51.17
50.353776739935505,52.66
51.497913820122065,53.56
52.89943854262221,52.13
50.46662556063896,51.12
48.72933728894305,49.95
50.96266691815323,49.56
52.551623223679364,48.48
53.63010515273178,50.25
52.17825786598131,47.65
51.198227858303305,49.84
50.02227510253515,49.59
49.54915386279396,50.43
48.560404729607185,51.53
50.114887518032326,50.76
47.82499514588037,49.61
49.71856907061629,49.95
49.55566249658718,48.42
50.37940528573401,48.06
51.541129724238225,47.12
50.710894960300685,44.88
49.80062224784278,43.93
49.86454304812176,43.39
48.489973667175704,44.63
48.14150438338664,44.02
47.15486697359765,46.0
44.989917349282145,47.4
44.053547458592284,47.03
43.33005883580274,48.75
44.53919993177693,51.41
44.109544936965676,48.83
45.85110686196216,48.66
47.27453689404599,47.72
47.116079433138864,50.12
48.67549329623745,49.13
51.11717145288884,52.08
49.12542162831294,53.95
48.75123928739085,50.44
47.60972124290697,50.79
49.961156353285155,51.63
49.31808987368734,51.95
51.78651014555649,53.3
53.82786516374795,56.25
50.77750501965468,56.69
50.83104851398817,55.71
51.324969610708145,56.37
52.0477925238592,55.58
53.30994738173693,56.17
55.874437902956394,56.59
56.7523064022092,55.98
55.92301250079901,55.56
56.197373064912036,57.05
55.59225440840602,58.55
56.25796587385788,59.62
56.4796296141391,59.1
55.99845749015012,58.92
55.69561782721027,60.38
56.84912308934242,60.93
58.42420326125084,58.99
59.6561548001543,59.41
59.13891918468959,59.23
58.891573163135995,60.72
60.29542750416452,60.5
60.88048443394161,59.89
59.18303895419647,59.73
59.37317494627116,59.44
59.15570712454443,57.3
60.66374787952882,58.96
60.5563967986826,60.18
59.89613111087285,58.88
59.77076364863633,57.29
59.418302626216466,57.51
57.480777256570875,57.69
58.82043341352897,60.25
60.02941984535862,60.24
59.05207882717541,61.3
57.47616280874223,59.67
57.33611948885949,58.0
57.69554053567765,59.11
60.132580914778174,58.15
60.203403241742244,60.15
61.26655814940817,61.36
59.82878215661541,60.74
58.06527392172907,59.96
59.03039333440557,59.53
58.15945966696079,60.01
60.08950632198259,59.89
61.22463723872095,60.41
60.81165726460532,59.62
60.102372472252796,60.01
59.4515809637119,61.05
59.97489666220716,60.01
59.94701154161297,59.59
60.35343468821422,59.41
59.662563281100205,58.34
60.012993453834255,59.48
60.94732709703021,56.94
60.081875364769175,56.93
59.689494435803745,52.48
59.34406502587759,52.33
58.40590165726135,51.61
59.45167139315512,52.76
57.06316514541296,52.74
56.95921904453258,52.19
52.777517273697,53.05
52.27778680188781,51.4
51.629510967060675,50.9
52.64436089577424,50.88
52.83279637026324,50.11
52.16175027541187,50.59
53.0323163762018,49.27
51.47696851466473,48.11
50.98523946014019,47.98
50.81666915461482,47.17
50.150274699135295,47.97
50.611263971782876,48.77
49.31084781750142,48.53
48.200749472037906,47.11
47.98863589869973,45.25
47.163871688241244,45.75
47.956154338906686,45.13
48.69557338771924,44.69
48.550581922827334,43.87
47.26193625503917,44.94
45.334740645797226,43.11
45.665159204092404,43.22
45.17142186016545,42.27
44.75817853878421,42.45
43.900754944490004,41.93
44.82236393728554,42.58
43.27969929542205,40.75
43.220290231572626,41.0
42.281891399983756,40.45
42.427448463265996,38.22
42.01995995718231,39.15
42.465069737833495,38.5
40.91815379144013,42.47
40.98224677782066,45.29
40.44560528968822,49.2
38.372362440690715,45.38
39.13285674175237,46.3
38.41632356200098,46.75
42.261696070554585,46.02
45.12292661580543,45.92
48.95344061650409,44.13
45.781559804670614,45.85
46.21205361108416,44.75
46.59812467197232,44.07
46.10886699354243,44.58
46.07478426312322,47.12
44.05488636977129,46.93
45.7935772993774,44.71
44.847956857823604,46.67
44.10012240696098,46.17
44.53974372163277,44.53
46.88991734725079,44.94
47.0140217056635,45.55
44.92147333600626,44.4
46.468585579996294,45.24
46.128947549158944,45.06
44.79394335475241,44.75
44.87015771802076,45.54
45.364371229571326,46.28
44.62796152939844,48.53
45.18461036351652,47.86
44.94661739584025,49.46
44.870069764345985,49.67
45.507670334894385,47.09
46.114531869698,46.7
48.45697329689772,46.63
47.94115481717281,46.38
49.325215651214215,47.3
49.65256813244272,45.91
47.31805720059149,45.84
46.744891163423425,45.22
46.49877670247769,44.9
46.460152981783864,43.91
47.27919020857139,43.19
45.927228446929085,43.21
45.90214481706702,45.93
45.2504287034792,46.02
44.868374886481476,46.6
44.0325455336598,46.12
43.21186972426187,47.88
43.177552536208786,46.32
45.72916138525179,45.27
46.04412719305062,44.32
46.61191182269636,43.87
46.13668148967785,44.23
47.71769077212845,42.95
46.487818626125375,41.74
45.35616883172816,40.69
44.34299486048381,41.68
43.85112251107594,40.73
44.26363301552031,40.75
42.99626112171862,40.55
41.846516250407255,39.39
40.742233411279635,39.27
41.56157752699433,40.89
40.81546595792642,41.22
40.78452681619159,40.57
40.51998037572651,40.43
39.4597146936898,40.58
39.32981170641605,39.93
40.692440298184394,41.08
41.214931267207376,40.0
40.70546164887372,37.64
40.391935404358804,37.46
40.518125089615594,37.16
40.042024177116716,36.76
40.98297375848337,35.65
40.03289695919227,36.31
37.88003864444235,37.32
37.44033760672266,35.55
37.062628081872546,34.98
36.88352095156183,34.72
35.73702054731766,34.55
36.173382046522796,36.12
37.27395703553533,36.76
35.725893931022384,37.62
35.01687657467009,36.36
34.66064587674348,37.88
34.58338114747813,36.59
36.04059953862014,37.13
36.66081751872561,36.81
37.62373160324226,35.97
36.47681136417083,33.97
37.72485156229133,33.29
36.68125245541124,33.2
37.13766844214512,31.42
36.80242080110556,30.42
35.9961662898313,30.42
34.192187130272075,31.22
33.24945936982238,29.45
33.17284166768733,28.47
31.583333570571046,26.68
30.500583214616228,29.55
30.32678432301512,32.07
31.17858029080034,30.31
29.629303139054134,29.54
28.518110003305562,32.32
26.75309506662891,33.21
29.333446385755032,33.66
31.88660628070572,31.62
