Estimate,Value
100.32857890524342,102.2
102.51511522066333,102.93
103.50800557714318,102.68
103.36975054154344,102.88
102.64915953977452,105.34
103.15161642621993,103.64
102.18136283390267,101.75
102.91617367738944,101.82
102.6593618391849,102.82
102.89040320244685,101.39
105.31536015697095,100.29
103.73599058391156,98.29
101.89183777275464,98.57
101.72818567047241,99.23
102.64406988685982,98.43
101.39055203421628,100.08
100.3325019871077,100.71
98.22455350892373,99.68
98.40475088881229,99.97
99.0729405705083,100.05
98.42211927443682,99.66
100.08439088059879,100.61
100.71198722907823,101.25
99.79348389692228,101.73
100.0222486572047,101.57
100.00851191411535,99.69
99.65855848353074,99.6
100.5988074349,100.29
101.2432903980162,101.16
101.78920295807029,100.43
101.65008649499316,102.57
99.76020724055167,103.55
99.55574108649378,103.37
100.15620928352288,103.68
101.10961262549269,104.05
100.50346434226596,103.7
102.59204510320741,103.71
103.56845896864829,104.33
103.51250771775277,104.35
103.78868827450306,101.69
104.06741881879495,101.47
103.7292932737567,102.2
103.73215563642266,100.85
104.30922188379088,101.13
104.35719775524446,101.56
101.76802081697363,100.07
101.42211184688507,99.69
102.01718369518365,100.09
100.80354238193928,99.74
101.13111751143526,99.81
101.49516691785415,101.06
100.0847395499743,100.52
99.69117548158582,100.32
99.99134358880326,100.89
99.69198433288835,102.01
99.81518604431852,102.63
101.03225934371406,101.74
100.55554840175782,102.31
100.38989072584535,102.95
100.8752296346956,102.8
101.98190571631933,104.31
102.68136829111734,104.03
101.85501092419193,105.01
102.34770970614593,104.78
102.9156221701278,103.37
102.8315014299127,104.26
104.34043734972211,103.4
104.08088776457811,103.07
105.08100316997383,103.34
104.83131556749711,103.27
103.43915601388316,103.17
104.22139406642154,103.32
103.34042644323944,105.09
103.07191993682157,105.02
103.29611074776,105.04
103.23473298773378,107.2
103.17814645061632,107.49
103.31780086248403,107.52
105.06008128934394,106.95
105.07422518365041,106.64
105.15413904815856,107.08
107.2121278792908,107.95
107.54320149769957,106.83
107.66631309103582,106.64
107.034017646657,107.04
106.63878441835926,106.49
107.03001126611792,106.46
107.91459932805306,106.07
106.88886233146852,106.06
106.68024240458445,105.18
106.9806010714359,104.76
106.46691467439307,104.19
106.46648434143067,104.06
106.05010481268417,102.93
106.03350963871587,103.61
105.1664282356154,101.48
104.73164643514107,101.73
104.13013676254549,100.56
103.99655261886024,101.88
102.89416102248275,103.84
103.546898174683,103.83
101.45113974235838,105.34
101.68214518483093,104.59
100.46333085788807,103.81
101.78873059430015,102.76
103.77995475924577,105.23
103.93582652278117,105.68
105.47868202439176,104.91
104.69136648151414,104.29
103.89633500792019,98.23
102.74600902584623,97.86
105.09742143635043,98.26
105.65159293890945,97.34
105.06150253655181,96.93
104.37235008170487,97.34
98.27474456468643,97.61
97.66037016918357,98.09
97.8615308596106,97.36
97.1933372182292,97.57
96.92844344817206,95.54
97.27681487874835,97.3
97.56844169994082,96.44
98.10478605090341,94.35
97.40952664003802,96.4
97.58475460477256,93.97
95.54258432962574,93.61
97.21717039923512,95.39
96.3783258908582,95.78
94.41848782063649,95.82
96.30483209374933,96.44
93.91235063249445,97.86
93.63051275286016,92.92
95.2500245594418,95.5
95.73879529014363,94.51
95.92984237127324,93.32
96.49637986762751,92.64
97.86483173125703,92.73
93.07990236712986,91.71
95.43068373261332,92.89
94.32370131993541,92.18
93.36055987945626,92.86
92.6205932911096,94.91
92.61331161590834,94.33
91.65911139540874,93.07
92.83208650699281,92.43
92.1621734986633,91.46
92.87843505515181,91.55
94.87539097715892,93.6
94.41937760340505,93.59
93.22090322017685,95.55
92.4215407967063,94.53
91.37000215818264,91.17
91.45500897157814,90.74
93.4900888291806,91.02
93.62433610089444,89.76
95.64057548623984,90.33
94.64355316372979,88.89
91.33037113426235,87.29
90.65269412608585,85.76
90.7825916170609,85.87
89.69166945029261,85.73
90.29667067834455,81.72
88.8622638366474,81.82
87.29327047040485,82.33
85.67500985896851,82.8
85.70287655848499,82.76
85.60791674088492,83.25
81.7563683532408,80.52
81.70876537349703,82.81
82.0726223426773,81.27
82.71982077038614,81.26
82.80615342987049,81.36
83.28095885853077,82.25
80.5889385024139,81.06
82.72856840003669,80.53
81.20077808566113,78.77
81.29892456745117,77.15
81.31564260282502,78.71
82.20047548958043,77.87
81.11048009459246,78.71
80.56593994594174,77.43
78.73554467703725,77.85
77.0725245767498,77.16
78.52097236218013,74.13
77.78615370772971,75.91
78.73141776980978,75.64
77.45956488265023,74.55
77.84124609711948,74.55
77.12484535226636,75.63
74.16337233030902,76.52
75.766338148368,75.74
75.49097348295912,74.04
74.60419050907629,73.7
74.54532880138767,65.94
75.53680682312137,68.98
76.5065128280163,66.99
75.84376105828264,67.3
74.13141192437494,66.73
73.63613092519992,65.89
65.94171300744918,63.13
68.65981512760818,63.74
66.63386666242401,60.99
67.24913393439012,60.01
66.6981180534065,57.81
65.86390205660315,55.96
63.12745142274386,55.97
63.58461887152088,56.43
60.86540931296071,54.18
59.914486668805786,56.91
57.65289996718628,55.25
