Estimate,Value
[78.86317971],79.22
[79.34693934],80.19
[80.36640562],81.76
[82.51311686],81.44
[81.47396006],80.65
[81.38644307],83.01
[82.90263319],85.66
[86.57978369],84.34
[84.20804111],82.9
[83.08638661],84.22
[84.61216933],80.24
[79.42497237],74.98
[74.82160325],69.14
[67.40468709],70.62
[70.77676673],72.91
[72.16403908],73.44
[73.43782669],76.7
[77.07202437],77.06
[76.67335797],74.96
[75.37753621],74.39
[73.69357406],76.35
[77.0841349],77.56
[77.24361152],78.12
[78.57953478],81.79
[82.36426101],78.17
[77.64193564],74.84
[75.1359539],72.91
[71.92234763],74.02
[74.51538766],74.82
[74.27240361],75.62
[75.92405171],73.76
[73.44344215],78.41
[78.85762127],82.29
[83.05336637],82.16
[82.06884312],81.15
[81.90610411],82.03
[81.78852126],84.93
[85.96847885],86.91
[87.04675529],82.23
[82.16700482],82.28
[82.59617084],86.75
[86.98421814],88.5
[89.24008529],88.27
[88.23522295],89.66
[90.45387132],90.97
[91.10591153],89.54
[89.8022184],91.02
[91.46434227],89.75
[89.54584861],86.11
[86.09532415],89.52
[89.71704729],85.51
[84.96582068],84.13
[84.11040033],95.26
[96.33048574],101.05
[101.7536267],103.74
[105.03841705],99.79
[99.63057943],104.41
[105.94223349],105.08
[105.09680742],109.29
[110.6950007],107.75
[107.97640828],109.11
[109.7290608],112.3
[113.36817303],105.84
[105.02588748],99.87
[100.27602288],97.99
[96.67012568],99.55
[100.0859033],100.92
[100.37258278],100.05
[99.98148907],95.87
[95.46792872],92.7
[91.66658722],93.7
[94.02907763],97.12
[96.47736357],96.72
[97.15064872],98.01
[97.75857164],97.83
[97.93250825],90.85
[89.9906723],82.86
[81.52162422],85.36
[85.47307272],85.06
[83.76059724],88.07
[88.82703258],87.91
[86.97118537],88.93
[89.43020692],83.65
[82.71991361],81.18
[80.6859241],79.43
[79.12919107],85.35
[85.9202935],86.82
[86.76074289],92.32
[93.12213219],93.24
[93.57086465],96.97
[97.60852078],99.32
[100.22986617],96.89
[96.52182612],99.91
[100.79488737],100.08
[100.24472476],96.06
[96.28360907],97.74
[97.79439222],99.81
[99.71047107],102.39
[102.5823723],100.43
[100.64419834],99.95
[99.81979712],99.35
[99.65848687],97.8
[97.28170453],98.56
[99.09877492],101.73
[101.76979322],107.18
[108.43883003],107.52
[107.32494952],106.32
[106.91093586],106.15
[106.02162688],106.41
[106.90939289],105.12
[104.77349415],103.52
[103.65833162],102.55
[102.19965946],103.15
[103.42469142],103.78
[103.61606812],103.47
[103.59310547],96.98
[95.92672437],93.11
[92.70818955],90.88
[90.02963197],87.06
[86.17364874],84.43
[83.55440782],83.27
[82.60110148],81.11
[80.24593515],80.23
[79.64913359],85.74
[86.16933063],85.78
[85.34657289],90.34
[91.15194012],88.88
[88.47558904],89.1
[89.36449432],93.14
[93.81646954],94.43
[94.54804273],96.22
[96.96600546],95.68
[95.56154412],95.68
[96.17821696],97.56
[97.79494968],93.7
[93.36802256],91.35
[91.08132558],90.81
[90.75793823],91.42
[91.27052167],91.59
[91.67182293],86.35
[85.27155522],85.87
[86.01160135],85.98
[85.42519543],85.87
[85.88544663],87.4
[87.32722278],87.27
[87.22352857],87.0
[86.8586212],85.71
[85.51898445],88.24
[88.55553445],90.14
[90.36577986],92.77
[93.22937981],93.38
[93.63828718],94.58
[94.92471908],95.41
[95.78685662],97.33
[97.73986425],96.18
[96.2691979],96.95
[97.22602265],94.38
[94.14858635],92.19
[91.88906307],91.0
[90.90114149],92.7
[92.71413748],93.05
[93.15062814],96.08
[96.41343391],95.07
[95.05417894],93.36
[93.07638576],88.0
[87.34600125],91.0
[91.26685917],93.4
[93.65735849],95.84
[96.00424869],94.65
[94.78852359],94.76
[94.62480475],93.32
