Estimate,Value
46.65873627087577,44.87
44.919473242692774,45.64
45.711826471490156,45.93
45.88334898943692,45.23
45.15858109046325,44.64
44.82351155426733,44.96
44.8941082761953,43.96
43.91923581363448,43.41
43.54605229562613,42.4
42.412109879047904,42.16
42.10514798033038,41.9
41.94362043399288,41.13
41.105558122380515,41.54
41.508713297055046,40.05
40.08827163702115,39.5
39.51331413771712,40.8
40.71833827927372,41.92
41.72266191836004,41.83
41.839978580541676,43.06
43.05343596744215,42.78
42.68755573045745,41.75
41.82777734872433,43.51
43.49603479365224,44.47
44.25009122847889,45.72
45.68185633631822,46.57
46.61922995702539,46.81
46.71607718692857,48.2
48.20634258320273,48.48
48.478722359898036,46.8
46.861216686271746,47.54
47.59818906767404,46.29
46.22134843217683,46.97
46.945066774172226,47.64
47.666281464794956,46.97
46.89048936502634,46.32
46.47563042458193,44.68
44.794719194023074,43.17
43.20261062671088,44.39
44.37795010241292,44.85
44.72561331831437,45.47
45.48425343471387,47.63
47.615072859932134,45.88
45.85251911444708,46.28
46.389618400726924,44.91
44.9591190173655,43.62
43.572543132596955,43.85
43.969530407536475,43.04
42.95437905900422,43.34
43.37268852221877,43.85
43.87204727451295,45.33
45.18594736475559,46.1
46.105996039765806,44.36
44.46074395910974,45.6
45.604120857623855,44.65
44.59123718652295,47.07
46.94959733916761,47.72
47.719781095213285,47.72
47.677360776944624,48.8
48.88160878846726,48.67
48.61858539810998,49.75
49.720584624461445,50.44
50.482072352738086,49.76
49.75909100226669,49.76
49.86831800718553,50.72
50.69525505765843,50.14
50.11234544603566,50.47
50.58265056351003,50.35
50.371349592490354,49.97
49.95850497500783,50.3
50.39340199580255,51.59
51.5039759356102,50.31
50.34851671176329,50.61
50.74900634238435,50.18
50.154403661377785,49.45
49.423020990118594,48.75
48.886155177734665,49.71
49.60769316554764,48.72
48.721894203238314,46.83
47.04071389747367,46.66
46.70413758175705,45.32
45.27052518478414,44.66
44.75150489049517,44.07
44.108558667896574,44.88
44.769359498651745,44.96
44.9863030369514,45.2
45.219296159277945,44.62
44.62300153167597,43.39
43.45538573010319,43.29
43.30763522292466,45.86
45.65580889955801,45.56
45.479592048393236,45.37
45.479346737314785,45.69
45.695501173863924,47.48
47.27306184360609,48.07
48.06400684767024,46.72
46.832772615461565,46.72
46.76366562915763,45.66
45.6750518364166,45.29
45.311424804386014,49.41
49.22873439857265,51.08
50.8306236654007,51.7
51.77453426050114,51.72
51.853776760965964,50.95
50.82557515775816,49.85
49.94137697016182,50.84
50.81392998547007,51.51
51.35450420994206,52.74
52.71903064029109,52.99
53.0235356792779,51.01
51.0616629678188,50.9
50.98882571197668,51.93
51.80411800699349,52.13
52.03446448454893,52.22
52.33820590101149,51.44
51.46121681965252,51.98
51.92452971528711,52.01
52.017092650837185,52.82
52.76147296802207,54.01
53.9687411062779,53.8
53.778846455459465,53.75
53.801747492148834,52.36
52.42072450229128,53.26
53.197871849217506,53.77
53.719781247037886,53.98
53.94477415696909,51.95
52.11937820233137,50.82
50.89006162978924,52.19
52.09168635207499,53.01
52.88472119109725,52.36
52.45577419638851,52.45
52.527220575330105,51.12
51.10098373256073,51.39
51.40770470697667,52.33
52.29597177394573,52.77
52.66461579510057,52.38
52.48126653131478,52.14
52.17233110148588,53.24
53.13573253160386,53.18
53.16328003485808,52.63
52.69595441055968,52.75
52.768139098370945,53.9
53.78374189155299,53.55
53.55153550777458,53.81
53.86057243544054,53.01
53.027513816547845,52.19
52.20815492444136,52.37
52.409718800444956,52.99
52.89534873669778,53.84
53.798006730314256,52.96
53.038002292060476,53.21
53.219006111964674,53.11
53.08845590356005,53.41
53.37107148606479,53.41
53.44612211701836,54.02
53.9707173564448,53.61
53.62005085970762,54.48
54.46535720502914,53.99
53.98628469059524,54.04
54.039353881455135,54.0
54.03479468752231,53.82
53.77495003593428,52.63
52.71842414428869,53.33
53.32601141335368,53.19
53.12929290819044,52.68
52.72027413935005,49.83
50.03789523369375,48.75
48.803062348996384,48.05
48.052440642716064,47.95
47.92383056883667,47.24
47.332667972065735,48.34
48.300342971879736,48.3
48.26894118474013,48.34
48.37090636080268,47.79
47.86351119380418,47.02
47.01426126582741,47.29
47.30804827460335,47.0
46.98451349318646,47.3
47.28922745710803,47.02
47.06095603763656,48.36
48.27908580492154,49.47
49.40056169826028,50.3
50.25341956535396,50.54
50.56897729130253,50.25
50.244816152235245,50.99
50.95454144937835,51.14
51.10042580597661,51.69
51.65983348551254,52.25
52.24207151954192,53.06
52.98466727465997,53.38
53.371177702522246,53.12
53.14083262670876,53.19
53.188958130040184,52.62
52.62330661708052,52.46
52.473372616800084,50.49
50.5840343036209,50.26
50.29208376713533,49.64
49.648493130093954,48.9
48.903485596754685,49.22
49.28297825195117,49.22
49.16689129136266,48.96
48.980643587771006,49.31
49.3557721565086,48.83
48.79906511435479,47.65
47.730492948230776,47.79
47.835734316500144,45.55
45.57614257952155,46.23
46.265716772877795,46.46
46.43268885275191,45.84
45.79276638727731,47.28
47.36148433217923,47.81
47.68445550746946,47.83
47.82029583391614,48.86
48.9253031756357,48.64
48.53745929701721,49.04
49.052755661567936,49.36
49.38126064516338,50.32
50.194022319187454,50.81
50.81375100097129,51.12
51.111958082111116,50.99
50.98832010537711,48.57
48.68261774175621,49.58
49.5850217627611,49.63
49.5266517508815,48.29
48.33386792745551,48.32
48.47785592162722,47.68
47.58669559135639,47.4
47.413084967844,48.13
48.18416190718823,45.8
45.81256561297748,45.68
45.793531219848,45.82
45.800570465949,46.1
45.97047034069154,46.41
46.521057833141576,44.79
44.832168145999944,44.47
44.46363406651575,44.73
44.71769566072042,44.24
44.16049348581132,43.34
43.40828792170877,42.48
42.52087949351759,42.53
42.44194321777669,42.86
42.80561356079965,43.24
43.18323398844838,44.25
44.15817978308063,44.74
44.676846038757084,44.88
44.861692389099396,46.02
45.965365976162175,45.11
45.09567575574421,45.52
45.54273485006291,44.25
44.293904830967115,44.4
44.357849814221964,45.06
45.03621003344914,45.48
45.380803024666385,46.06
46.0488861961374,46.53
46.493746770286,46.02
46.005628339303485,46.4
46.42780343138186,47.1
47.040197553293886,46.73
46.700767510651474,45.78
45.89867228798805,46.21
46.19419681232479,47.77
47.616428707894215,48.58
48.533349155471505,49.05
49.074193131591265,49.72
49.69552541670658,50.21
50.18417135958019,49.19
49.27526000717609,49.6
49.64025992154387,49.03
49.026858379251046,49.57
49.56331245731128,49.37
49.413553777920924,49.07
49.06787564075152,49.59
49.61440729097478,48.54
48.570064898128955,48.81
48.83489102808431,47.59
47.65923578606645,47.57
47.56320435474864,46.8
46.854648096049964,47.07
47.037519422837384,48.59
48.509602398336675,47.39
47.39941951010303,47.65
47.723446797991905,48.45
48.39978337857841,47.24
47.20557744823553,47.65
47.763487902994335,46.4
46.41212635722431,46.46
46.416779398770394,45.96
46.04919191893495,47.26
47.13023903556333,47.32
47.28083929774054,48.63
48.61230259170328,49.13
49.07976121494582,49.1
49.091378279980894,47.44
47.5976180189884,48.06
48.04596585041822,48.21
48.13587938868286,49.3
49.25900374214605,49.86
49.86019493861544,49.9
49.87318817853332,49.88
49.94032844908664,49.54
49.56839353437633,50.29
50.250341277096354,50.58
50.57478118533672,50.33
50.35535626273936,51.85
51.82374369612141,51.59
51.56210629965619,52.14
52.1701610706076,51.62
51.7000273549013,51.67
51.6497475289109,50.59
50.69328196769899,50.44
50.481686020433806,50.0
50.006168105715155,50.79
50.76199303535108,49.34
49.41324574569404,49.58
49.61147836847954,50.93
50.857794345608305,51.3
51.20509755513588,50.61
50.73436930442492,51.43
51.44158975424077,51.86
51.7569602401802,51.87
51.917085121555544,52.05
52.111609827257155,51.29
51.28378828302152,51.63
51.67193971694236,51.91
51.907362149584365,52.32
52.26375637078118,51.97
52.0484553318004,52.41
52.414856415382395,53.92
53.82578945447269,54.11
54.09991577250887,54.36
54.423516296456455,54.32
54.352306075001266,54.55
54.540854069845096,55.63
55.62914936824709,57.34
57.25533891219109,57.19
57.20974066308,56.82
56.95669571528022,57.16
57.18952492861466,56.75
56.74693986118244,56.77
56.864163584386,55.67
55.75777616274417,55.28
55.316371733908575,55.14
55.199225298965096,56.21
56.144503759118685,56.21
56.211838950248435,56.84
56.87690092038833,57.88
57.84805266528384,58.94
58.87902762806992,58.1
58.211581275370314,57.96
58.05438155083346,57.25
57.2885558450435,57.4
57.42169501842017,58.35
58.34969262754982,57.48
57.49585635796687,57.66
57.74893533704887,55.79
55.90374384024963,56.5
56.478092703553635,57.15
57.133973453882746,57.84
57.76921601604331,57.12
57.22760096939954,56.59
56.666636646994206,57.0
56.97624207096445,57.29
57.269357889003814,57.17
57.20984765874366,57.49
57.50882337328866,58.09
58.05636001839123,58.34
58.34202154731915,58.25
58.30051857833742,59.55
59.513744626404524,59.67
59.64591347667806,59.84
59.894689385079346,60.46
60.48967360360389,60.37
60.34819543024507,61.61
61.626187445086856,61.98
61.981632526811026,61.49
61.52947044402728,61.73
61.836111673189066,62.92
62.85216335795119,63.6
63.55858087708592,63.81
63.908555578776195,64.22
64.24839875540452,63.82
63.8551411870636,63.92
64.01052364485713,63.96
63.99210976145321,63.38
63.42259686141756,63.66
63.741989995274594,64.45
64.41791341942132,65.69
65.63261978825233,65.62
65.69935281024968,66.27
66.30830986084301,65.71
65.7648538041098,64.64
64.76255248193262,64.82
64.89696492518058,65.92
65.83863844546298,65.5
65.53795698566593,64.18
64.36336138829373,63.48
63.55851294551698,61.91
61.96571060209737,61.3
61.39648146807683,59.2
59.29781939977945,59.41
59.40017766168155,59.33
59.318669198861876,60.7
60.588832921505926,61.48
61.452083740299784,61.89
61.86830814749528,61.91
61.94110253329359,61.73
61.753578262704046,62.72
62.6818835570186,63.52
63.46908204160755,63.81
63.812066812188974,62.94
63.03670138221411,61.43
61.53386507561995,60.98
61.02779931514491,61.19
61.15556617806494,62.49
62.40646591318525,62.54
62.539442796496914,61.09
61.191462817549954,60.13
60.236532813356966,62.02
61.89950555373592,61.35
61.2911361407127,60.69
60.81989417862449,60.89
60.92231152517453,61.16
61.03090020012734,62.29
62.29291398517578,62.01
62.026179710209995,63.37
63.29235482050515,65.1
65.04236649593722,64.25
64.25669771016798,65.8
65.84468813266542,65.49
65.48215879320745,65.21
65.22153285750369,64.3
64.47413345656537,64.87
64.81054519672405,63.05
63.1172310759892,63.41
63.505443396802164,63.35
63.308061212525566,63.53
63.47548751755266,62.03
62.2007177186954,63.4
63.3366113466578,65.48
65.30358326359753,66.81
66.74362336456473,67.07
67.14786226350114,67.35
67.3662793310423,66.23
66.30194931255433,66.5
66.56729524980268,68.44
68.34069318920317,68.3
68.25545470223774,68.26
68.4014974073973,67.61
67.68610702410209,67.66
67.63051154708798,68.0
68.0600053861428,68.18
68.17273857596659,68.11
68.13498811566785,68.56
68.60523341913654,67.28
67.33530449990857,67.91
67.94838849126886,68.45
68.43087635482102,69.71
69.62030466142537,70.74
70.76616569594727,68.83
68.938685233639,71.16
71.1564314514098,71.36
71.29970143816433,70.69
70.74020515104692,71.01
71.1858084059107,71.34
71.24150054009452,71.43
71.45008663043654,71.47
71.60296718440557,71.23
71.21081173619142,72.26
72.25743990899335,72.09
72.1458264769094,71.85
71.88416359944695,70.77
70.89936052236266,67.92
68.0879489151757,66.8
66.91739183451797,68.24
68.14537639976054,66.98
67.0428358616381,65.81
65.99158163788898,64.76
64.83579567979261,65.51
65.36182903804549,64.75
64.79890442229014,65.96
65.93009163103326,65.77
65.70500079971877,66.1
66.17292838950843,66.38
66.4075002942101,66.63
66.55060012488143,66.91
66.92445263843382,65.01
65.11371760760333,65.91
65.89054095173512,65.09
65.07329429830196,65.92
65.87373819350452,65.68
65.71439772259046,69.02
68.80883919451236,69.91
69.82112854961696,75.23
75.0204436747931,77.41
77.29353701655495,73.45
73.59245357855518,74.13
74.35565999393894,73.89
73.62675377839501,74.19
74.06926987917015,73.05
73.3354611998023,73.78
73.61859546013197,73.93
73.88575111290503,74.11
74.15854838248745,70.47
70.65875779486827,70.28
70.34762697638571,71.03
70.92527329490206,68.22
68.24061638720535,68.03
68.27786698052972,68.78
68.65302083274238,69.42
69.26994666083326,70.31
70.44334191858458,67.9
67.97103390180497,70.77
70.70081606055469,71.13
71.01554180967617,71.59
71.53194456035635,68.66
68.97714984979488,71.19
70.99719241815735,69.88
69.8431303004149,68.8
68.8776779753173,68.95
69.0997503234821,68.49
68.30520109062203,69.01
69.07160385064824,69.17
69.18966616117915,66.92
66.97351652363997,66.81
66.93550850469701,67.61
67.49445838250988,67.25
67.18580519750897,67.04
67.19077146013358,65.07
65.1409945121921,65.44
65.42541395459298,65.93
65.89206551609435,66.5
66.41664490433182,67.32
67.37356112381306,67.85
67.7948456035151,69.13
69.07562308612712,69.71
69.68129574272703,69.97
69.94882943287708,68.54
68.63135367669373,69.68
69.62780511155194,70.25
70.15170636688548,69.84
69.83245892788318,69.82
69.92774924800909,68.69
68.6725553159154,67.81
67.85968243111793,67.73
67.76079243765037,67.55
67.49056780453601,69.29
69.24486918799009,70.37
70.29993251147411,68.6
68.68342593562258,68.98
69.09109493305215,68.86
68.76014665745653,69.87
69.77012087910218,71.08
71.09948569973089,70.77
70.71748354225313,70.8
70.87317817046967,73.23
73.10203711988741,73.4
73.27492224172477,72.22
72.36586821335763,72.18
72.25357330348032,73.16
72.97645525339523,75.37
75.24894860786733,75.16
75.17961115773144,76.4
76.39159580444732,74.44
74.51600538123473,74.26
74.26078379238709,74.27
74.28834204678661,74.95
74.8015086113191,73.18
73.33442158631267,70.97
71.11538459992661,71.41
71.40396997032934,71.84
71.70537155932684,71.93
71.95353864799257,69.63
69.82397436762734,68.63
68.6952849925023,69.16
69.11642381429343,69.25
69.16533403666132,66.49
66.69440452663832,66.56
66.65472386965014,67.25
67.12222920030563,67.58
67.50357371510681,67.0
67.15550516800053,66.18
66.21017545829758,65.31
65.34926592032863,63.67
63.748414471471385,63.12
63.16179826736807,63.12
63.101524093202364,62.16
62.17863993395361,61.69
61.783365893570206,60.71
60.74863800015641,60.19
60.20237898685517,59.85
59.89560533620681,55.63
55.79635305335353,56.16
56.2556731321285,56.45
56.32910048339284,56.49
56.39527088978861,57.16
57.33114889863883,53.39
53.40033136745207,54.41
54.388440823460876,51.46
51.48811118520555,51.31
51.172244413041135,50.06
50.12870806399591,51.46
51.177673414574436,50.78
50.720514204648445,52.98
52.886084718897095,53.21
53.1983273749425,52.64
52.65213230507238,51.54
51.707713411185814,52.76
52.62561618107304,51.07
51.09654151735012,51.65
51.69488061309889,51.04
