Estimate,Value
109.65000768674685,103.14
108.90768752582986,102.7
106.76543173162564,101.51
102.61947303839288,97.57
103.25856898409145,96.94
102.43616657982494,94.31
101.01250684876038,93.94
96.06664448083842,93.92
95.9404982435678,92.97
92.51235055092657,96.21
92.03965750098807,97.23
92.34011855349746,97.85
91.17360485026946,99.15
95.38461200924397,96.47
96.80454470038734,92.42
97.80605485550625,92.98
99.84516325358916,96.19
95.27136366134,97.29
90.95529357677523,97.78
92.50148098947989,100.21
96.87240553599577,102.93
97.42269362985733,102.77
98.02289252034114,103.07
101.35492984805957,99.55
104.58470539982079,99.77
104.031789654734,100.66
104.67058711982345,100.46
100.3170238203222,102.72
101.27324651281131,103.95
102.27166477408325,102.11
101.81550298818196,100.51
104.5239895495929,100.29
105.20359170560432,101.92
102.83800509596436,103.82
101.01577852082768,103.95
100.76068348363928,103.23
102.60177762050702,105.97
104.07345936214303,107.23
104.01794386254196,106.69
103.2552836482545,105.52
106.8812548152643,103.25
107.96481640889037,102.37
107.2506358187284,104.35
105.99011481369395,102.19
102.03335395975463,97.5
101.25901037458779,97.17
104.72771387681769,94.95
101.46513822982399,96.25
96.000897033161,94.06
96.23508798107517,92.43
93.23397382705129,93.52
95.0858289945365,93.15
92.13604017463474,91.44
90.64688591393153,87.63
92.457910003494,82.88
91.91957396874209,82.12
90.19034958287486,81.29
85.96545490525529,78.24
80.73998222248672,76.5
80.74855933312668,75.38
79.99890708866175,72.36
76.44874557401097,67.18
74.99026262475309,61.14
73.99292343314137,55.89
70.57957583433432,55.58
64.7259969044078,53.44
58.151982363326226,48.77
52.55968644276185,47.07
53.198749749689114,46.46
50.44962633032271,45.32
44.85699497015712,50.58
43.63358948765792,51.14
43.32226655717765,51.69
42.12273680681139,49.16
49.407352506335194,50.38
49.42762160530019,47.69
50.46914612178202,44.39
47.60401284878433,48.68
51.22743295336641,48.91
46.9484372619068,51.78
43.66045097503151,54.78
50.13785895908683,56.14
49.923274799494614,57.98
53.86299663149777,59.73
57.44825326308984,60.01
58.877017723745475,58.95
61.19525101237487,58.19
63.22982052339238,59.66
