Estimate,Value
47.46528526833027,44.87
45.30462402201526,45.64
45.33442922863747,45.93
44.74842924388147,45.23
46.65287247733059,44.64
45.00049629338621,44.96
45.65554499086999,43.96
45.82296692720574,43.41
45.2764972438225,42.4
44.73358711115666,42.16
44.81778830387868,41.9
43.97482122633179,41.13
43.44376388973615,41.54
42.29590634544429,40.05
42.05491382852859,39.5
41.81193468495851,40.8
41.01098070283927,41.92
41.39537174615009,41.83
39.97145429864123,43.06
39.36808666736529,42.78
40.524739822675535,41.75
41.694868223048985,43.51
41.8215261213908,44.47
42.93625580334046,45.72
42.6956072191352,46.57
41.81455706528386,46.81
43.337349129777685,48.2
44.31189949761109,48.48
45.7806937841092,46.8
46.60643017284953,47.54
46.844785244102106,46.29
48.2900662520855,46.97
48.57380531276788,47.64
46.89935459668544,46.97
47.47222177066789,46.32
46.266506359698866,44.68
46.9687110287676,43.17
47.59579961434343,44.39
46.98905665571787,44.85
46.439907891089156,45.47
44.74460814265471,47.63
43.265860766750706,45.88
44.33403627928565,46.28
44.80864072011971,44.91
45.531694641520204,43.62
47.50880446851985,43.85
45.94843377231543,43.04
46.311737921751885,43.34
44.91224163218767,43.85
43.68002769944114,45.33
43.89659864968012,46.1
43.048488977862995,44.36
43.41031194596409,45.6
43.84347502446283,44.65
45.21743931681377,47.07
46.09175200885029,47.72
44.48284191770864,47.72
45.49283517200033,48.8
44.62431755459399,48.67
46.93551096821752,49.75
47.664112095719524,50.44
47.70525142347988,49.76
48.89970855960138,49.76
48.72848042519912,50.72
49.86856541542325,50.14
50.56260272704224,50.47
49.938587136784676,50.35
49.95303725458908,49.97
50.76053559969062,50.3
50.31139214602067,51.59
50.66586481618072,50.31
50.441049956549804,50.61
50.12058982028944,50.18
50.44266374617521,49.45
51.6033796316108,48.75
50.549078820792914,49.71
50.63348114839094,48.72
50.134368401035886,46.83
49.50293497030823,46.66
48.84857894765762,45.32
49.597654944355725,44.66
48.80983064089384,44.07
47.029136175785794,44.88
46.58960093557737,44.96
45.285448371884385,45.2
44.681459433770065,44.62
43.95888377796056,43.39
44.826603433974455,43.29
45.02574786425271,45.86
45.227765960681396,45.56
44.58017646621539,45.37
43.38254538003474,45.69
43.165781437539266,47.48
45.5822778152534,48.07
45.55763520009571,46.72
45.44911478000134,46.72
45.588544864189316,45.66
