Estimate,Value
106.47121753444539,103.1
106.1778073303809,103.1
106.5507614541822,102.7
106.1790928426016,101.5
106.58108790872048,97.56
106.19565966477346,96.94
106.59504566466875,94.3
106.21313626219161,93.94
106.60220262745071,93.94
106.22848617987998,93.0
106.60574444112088,96.2
106.24147841669196,97.25
106.6070016112569,97.9
106.2524798903494,99.1
106.60668943031914,96.5
106.26190798438188,92.44
106.60526756438217,93.0
106.27011300193092,96.2
106.60305874602152,97.3
106.27736743534943,97.75
106.6002977652192,100.2
106.28387833164035,102.94
106.59715756101005,102.75
106.28980191436195,103.06
106.59376592592545,99.56
106.29525592580563,99.75
106.59021724176522,100.7
106.30032921859993,100.44
106.58658104562836,102.75
106.30508901652776,103.94
106.58290837242106,102.1
106.3095863619717,100.5
106.57923647525605,100.3
106.31386019022085,101.94
106.57559234494173,103.8
106.31794037355847,103.94
106.57199533564355,103.25
106.32184999490069,106.0
106.56845912401484,107.25
106.3256070459078,106.7
106.56499317096115,105.5
106.32922569534347,103.25
106.56160381218494,102.4
106.33271723657519,104.4
106.55829507164303,102.2
106.33609079552512,97.5
106.55506926817829,97.2
106.33935385977456,94.94
106.55192746777276,96.25
106.34251267413963,94.06
106.5488698205736,92.44
106.34557253654883,93.5
106.54589581191807,93.1
106.34853801947838,91.44
106.54300444917456,87.6
106.35141313579902,82.9
106.54019440068578,82.1
106.35420146310983,81.3
106.53746409897148,78.25
106.3569062370667,76.5
106.53481181726572,75.4
106.35953042154992,72.4
106.53223572616284,67.2
106.36207676152776,61.12
106.52973393542874,55.88
106.36454782298787,55.6
106.52730452475184,53.44
106.36694602320142,48.78
106.52494556625084,47.06
106.36927365375699,46.47
106.52265514084198,45.3
106.3715328981842,50.6
106.52043135003511,51.12
106.37372584552601,51.7
106.51827232432959,49.16
106.37585450087441,50.38
106.51617622908391,47.7
106.37792079362761,44.38
106.51414126851118,48.7
106.37992658403466,48.9
106.5121656882867,51.78
106.38187366845067,54.78
106.51024777713046,56.12
106.38376378361852,57.97
106.50838586763507,59.72
106.3855986102135,60.0
106.50657833654071,58.94
106.3873797758275,58.2
106.50482360460732,59.66
106.38910885752472,60.06
106.50312013619579,59.88
106.39078738406839,60.0
106.50146643864147,57.9
106.3924168378921,52.38
106.49986106148178,51.7
106.39399865687173,49.22
106.49830259558372,47.9
106.39553423593969,44.94
106.49678967220554,43.2
106.39702492857288,41.34
106.49532096201725,40.72
106.39847204817805,46.72
106.49389517409905,45.16
106.39987686939287,45.47
106.4925110549308,45.56
106.40124062931572,45.0
106.49116738738257,48.38
106.40256452867533,46.8
106.48986298971361,45.16
106.40384973294759,45.0
106.48859671458463,45.97
106.4050973734263,42.7
106.48736744808717,40.62
106.40630854825226,40.5
106.48617410879254,40.4
106.40748432340466,36.94
106.48501564682188,35.78
106.40862573365789,36.25
106.48389104293858,37.0
106.40973378350604,34.66
106.48279930766348,30.6
106.41080944805728,29.19
106.48173948041325,31.81
106.41185367389964,31.27
106.48071062866185,28.14
106.41286737993985,30.02
106.47971184712499,31.31
106.41385145821624,34.44
106.47874225696734,37.7
106.41480677468691,38.3
106.47780100503192,39.44
106.41573416999414,36.8
106.47688726309157,36.72
106.41663446020594,41.22
106.47600022712165,41.88
106.4175084375355,44.3
106.47513911659375,44.22
106.4183568710393,45.44
106.47430317378974,48.0
106.41918050729448,48.72
106.47349166313563,49.0
106.41998007105654,50.2
106.47270387055488,47.88
106.42075626589732,48.72
106.47193910284034,48.16
106.42150977482454,46.16
106.47119668704457,45.6
106.42224126088293,44.44
106.47047596988786,41.84
106.42295136773792,40.8
106.4697763171836,43.12
106.42364072024218,47.16
106.46909711328028,47.06
106.42430992498542,45.12
106.46843776051988,45.97
106.4249595708284,44.34
106.46779767871199,44.6
106.42559022942103,46.56
106.46717630462337,49.47
106.42620245570545,50.28
106.46657309148232,50.56
106.42679678840436,49.38
106.46598750849763,45.5
106.42737375049516,44.62
106.46541904039154,45.16
106.4279338496701,47.25
106.46486718694626,48.62
106.42847757878299,50.97
106.46433146256392,51.9
106.42900541628298,51.94
106.4638113958392,53.6
106.4295178266355,53.34
106.46330652914459,52.06
106.43001526073104,51.8
106.46281641822766,52.75
106.43049815628184,53.34
106.46234063182021,52.88
106.4309669382071,53.22
106.46187875125871,54.03
106.43142201900686,53.56
106.46143037011592,50.5
106.43186379912495,48.03
106.46099509384332,47.28
106.43229266730148,49.12
106.46057253942388,51.25
106.43270900091473,53.2
106.46016233503498,51.1
106.43311316631335,49.12
106.45976411972137,47.22
106.4335055191387,47.03
106.45937754307741,49.25
106.43388640463779,50.22
106.4590022649388,48.47
106.43425615796703,46.56
106.45863795508328,45.3
106.43461510448721,43.1
106.45828429293998,44.62
106.43496356004978,44.97
106.4579409673074,45.5
106.43530183127477,46.4
106.45760767607953,48.28
106.4356302158206,49.53
106.45728412598008,49.1
106.43594900264598,47.53
106.45697003230431,47.7
106.43625847226426,46.7
106.45666511866861,48.6
106.43655889699014,49.06
106.45636911676723,50.12
106.4368505411794,51.78
106.45608176613625,50.22
106.43713366146147,50.78
106.45580281392431,51.75
106.43740850696524,52.5
106.45553201467017,54.6
106.43767531953829,57.06
106.45526913008669,55.8
106.43793433395969,57.47
106.4550139288512,57.8
106.43818577814665,56.9
106.4547661864019,57.16
106.43842987335496,57.88
106.45452568474023,59.88
106.4386668343738,61.38
106.45429221223918,63.25
106.4388968697147,63.78
106.45406556345691,65.1
106.43912018179495,65.3
106.45384553895606,62.0
106.4393369671158,60.56
106.45363194512825,62.47
106.43954741643539,62.06
106.45342459402372,61.66
106.43975171493649,61.28
106.4532233031859,64.1
106.43995004238955,65.0
106.4530278954909,63.06
106.44014257331087,66.0
106.45283819899167,67.56
106.4403294771161,67.94
106.45265404676664,68.4
106.4405109182694,70.56
106.45247527677289,71.3
106.44068705642815,71.0
106.45230173170353,66.94
106.44085804658334,65.4
106.45213325884927,66.2
106.4410240391961,66.3
106.45196970996412,74.0
106.44118518032995,73.75
106.45181094113484,71.94
106.44134161177949,68.94
106.45165681265438,70.0
106.441493471195,69.44
106.45150718889889,67.9
106.44164089220365,66.1
106.45136193820842,68.1
106.44178400452712,69.7
106.4512209327711,68.5
106.44192293409569,68.94
