Estimate,Value
103.15852862471887,102.2
102.19235931003632,102.93
102.95759912292544,102.68
102.62967068403296,102.88
102.90690631048626,105.34
105.22510402125502,103.64
103.63013791142205,101.75
101.97555348092918,101.82
101.82310918809385,102.82
102.70945979576261,101.39
101.41451103999103,100.29
100.42182265616636,98.29
98.35766338861187,98.57
98.59057497495199,99.23
99.12204640005623,98.43
98.44846475712784,100.08
100.06598713488958,100.71
100.59698396802808,99.68
99.7583326724811,99.97
100.01811313637111,100.05
99.99911418941934,99.66
99.68329244260184,100.61
100.58871121732979,101.25
101.17605239033838,101.73
101.72224140756371,101.57
101.58237675597951,99.69
99.7883820485686,99.6
99.66548026213835,100.29
100.19787668762316,101.16
101.09707412868704,100.43
100.4524404692527,102.57
102.54155021777717,103.55
103.40734058750486,103.37
103.419147489188,103.68
103.7095698474274,104.05
104.01753321327459,103.7
103.71187743483132,103.71
103.73562518160873,104.33
104.29218119916327,104.35
104.32719968369557,101.69
101.81802997340847,101.47
101.57596944989268,102.2
102.08257480248407,100.85
100.86929700356819,101.13
101.19467881904258,101.56
101.48312209841195,100.07
100.12431586870811,99.69
99.77547383112815,100.09
100.03295944342013,99.74
99.72534170571194,99.81
99.83476806869623,101.06
100.99448775980953,100.52
100.49845016498553,100.32
100.39405384699033,100.89
100.85447337391865,102.01
101.93687635816843,102.63
102.5852859008576,101.74
101.79412422360936,102.31
102.34281851480817,102.95
102.87046989243262,102.8
102.80355636481153,104.31
104.27886791149437,104.03
103.98025264711573,105.01
105.03698722367646,104.78
104.74308710967523,103.37
103.47131674729219,104.26
104.26736343804724,103.4
103.34965862855528,103.07
103.14790485464401,103.34
103.30911814225595,103.27
103.25063554034037,103.17
103.18666078458905,103.32
103.31500352643683,105.09
105.00953400732507,105.02
104.96363337406021,105.04
105.10776955602407,107.2
107.1097326388578,107.49
107.4001159222876,107.52
107.58974486106936,106.95
106.98267670170708,106.64
106.67440772470967,107.08
107.05227675802833,107.95
107.88738230391142,106.83
106.85960860472296,106.64
106.72140933790713,107.04
106.98884634013883,106.49
106.49025742599127,106.46
106.4964711484085,106.07
106.06608990804496,106.06
106.07359549976432,105.18
105.20106108039282,104.76
104.80875729572111,104.19
104.19510778476395,104.06
104.07025738416978,102.93
102.95852459702554,103.61
103.61907487286776,101.48
101.49863707615715,101.73
101.82268885882728,100.56
100.51825400409547,101.88
101.87766735984633,103.84
103.66963808879943,103.83
103.80878918344918,105.34
105.35312708728402,104.59
104.56593345159153,103.81
103.92476467790145,102.76
102.80231350855819,105.23
105.13889148987627,105.68
105.53394311933575,104.91
105.01596981012902,104.29
104.35953391249704,98.23
98.46598556165812,97.86
98.0682990512056,98.26
98.0365890718661,97.34
97.34833438962877,96.93
96.99390237636798,97.34
97.30448102651204,97.61
97.56949339734888,98.09
98.07654600353008,97.36
97.38156288803296,97.57
97.60559354300231,95.54
95.58590708984677,97.3
97.30973220776235,96.44
96.33782718228728,94.35
94.52955524194027,96.4
96.36028983037312,93.97
93.91804612329001,93.61
93.78849644149595,95.39
95.23731950546765,95.78
95.68630472769395,95.82
95.87198909817417,96.44
96.42812478862642,97.86
97.78144545488557,92.92
93.09737909523166,95.5
95.62116346167059,94.51
94.27350500976794,93.32
93.5063673981923,92.64
92.67350764628779,92.73
92.70458176729102,91.71
91.72453340868613,92.89
92.87859388494226,92.18
92.12985317836949,92.86
92.90077273400398,94.91
94.76994310535584,94.33
94.30877738596124,93.07
93.2242367888105,92.43
92.48031692544562,91.46
91.47604776238641,91.55
91.55599620836587,93.6
93.47143232358503,93.59
93.52053616260241,95.55
95.54458652737922,94.53
94.50455472260772,91.17
91.42532398976105,90.74
90.84055441148408,91.02
90.89641832546921,89.76
89.78716268697774,90.33
90.36167816454443,88.89
88.88308897432759,87.29
87.43154834939051,85.76
85.82611105072806,85.87
85.85832108110708,85.73
85.6732422888761,81.72
81.89811785017115,81.82
81.95277137744256,82.33
82.14810859017338,82.8
82.76590812427908,82.76
82.7646884779534,83.25
83.24908001814484,80.52
80.61619645148699,82.81
82.82779701593572,81.27
81.15108101980657,81.26
81.402667455841,81.36
81.29670356939518,82.25
82.20753211381042,81.06
81.08432903886325,80.53
80.6289361357754,78.77
78.81924924194242,77.15
77.2603179341669,78.71
78.63204371319077,77.87
77.78962598691123,78.71
78.76243672384676,77.43
77.42470859518457,77.85
77.90788757016766,77.16
77.12710701622933,74.13
74.30151723007843,75.91
75.91056115819288,75.64
75.47365175492263,74.55
74.67640535191002,74.55
74.57753152390951,75.63
75.54028470506692,76.52
76.44315283719475,75.74
75.7847244347148,74.04
74.1761313938466,73.7
73.74487602067148,65.94
66.22092128583226,68.98
69.09018555442489,66.99
66.6858440445484,67.3
67.46441033107565,66.73
66.6716150091818,65.89
65.95897960405182,63.13
63.26274664105949,63.74
63.76670363522738,60.99
60.99434985462875,60.01
60.16306319524343,57.81
57.83500464777835,55.96
56.071037721357285,55.97
55.938355774133726,56.43
56.336834190472906,54.18
54.26937560328598,56.91
56.86813421964562,55.25
55.15985089793623,56.78
56.86150421732178,55.7
55.643723349700274,54.59
54.732452568573606,53.46
53.50318746502144,54.14
54.09763457013279,53.45
53.41972917808787,52.72
52.80026714062771,50.05
50.16930358112256,47.98
48.12231024892516,48.69
48.612811153171236,48.8
48.69526772500916,48.35
48.39506415710099,46.06
46.182727057631325,45.92
45.97409069648523,48.49
48.287986383155534,46.37
46.389193582177995,48.49
48.54930491998279,46.79
46.73091024261488,47.85
47.92660692115277,45.93
45.92989568319508,45.26
45.38457939236054,44.8
44.76849325054624,45.84
45.77777759604273,44.08
44.11925355872504,44.12
44.20496422423072,47.79
47.54558668333524,49.25
49.079352257095245,53.04
52.96217152035561,48.45
48.622611573307836,50.48
50.63610584608758,51.66
51.380496494897876,52.99
52.96487245927308,50.06
50.210839925753234,48.8
48.987962898047,51.17
50.98563439283742,52.66
52.47650040127013,53.56
53.55493746010965,52.13
52.22514557639635,51.12
51.240232751336585,49.95
49.987936181466914,49.56
49.578141473260736,48.48
48.504292741081976,50.25
50.18053768135629,47.65
47.693510296237534,49.84
49.859998732405785,49.59
49.45672934887576,50.43
50.46648447903376,51.53
51.443874292160125,50.76
50.79665643561269,49.61
49.72493011032803,49.95
49.93889886090293,48.42
48.449430814895486,48.06
48.130788872128626,47.12
47.12596038028756,44.88
45.00465128993954,43.93
44.00510144066712,43.39
43.3662794474389,44.63
44.55122151598597,44.02
43.9991944607647,46.0
45.95892722565468,47.4
47.25805058108772,47.03
47.07771747404784,48.75
48.72209962431978,51.41
51.22189104727525,48.83
48.946382159832666,48.66
48.82921088314207,47.72
47.6831989426165,50.12
50.019612479934956,49.13
49.08457451795527,52.08
52.03606209608756,53.95
53.7472094779697,50.44
50.666883985638826,50.79
50.930608479716696,51.63
51.45831592030306,51.95
51.92277874776512,53.3
53.251698388490695,56.25
56.07704130311909,56.69
56.63509262038968,55.71
55.84758591771863,56.37
56.378792746812735,55.58
55.56799860617189,56.17
56.184439289679,56.59
56.52597812016349,55.98
56.01934639448,55.56
55.6119356789215,57.05
56.965926024056664,58.55
58.4202517974238,59.62
59.57721672527483,59.1
59.14784547657391,58.92
58.97950939002983,60.38
60.294622230968876,60.93
60.85673321931901,58.99
59.12112175213478,59.41
59.46148226756795,59.23
59.16098660431977,60.72
60.66498338706112,60.5
60.46389892117528,59.89
59.97694030662948,59.73
59.747349723659745,59.44
59.438201465609204,57.3
57.40892650175246,58.96
58.926021420165505,60.18
60.00029923670491,58.88
58.967497354536924,57.29
57.447310453563944,57.51
57.500083802830126,57.69
57.621010535244444,60.25
60.124818213856955,60.24
60.17399476139674,61.3
61.33306610493862,59.67
59.72136509406053,58.0
58.16375507289645,59.11
59.048329555847694,58.15
58.11118498322585,60.15
60.113004712144445,61.36
61.21181967272094,60.74
60.802807087536515,59.96
60.05616634451015,59.53
59.55320997267853,60.01
59.972754578748926,59.89
59.868314109275225,60.41
60.40315457972395,59.62
59.6407934052076,60.01
60.02983956568095,61.05
60.96120946834159,60.01
60.04523812121509,59.59
59.67465499062376,59.41
59.39690960495929,58.34
58.38473119562327,59.48
59.44743576109214,56.94
57.00072643589209,56.93
57.0394142204292,52.48
52.621947116080996,52.33
52.45659063135846,51.61
51.505663190529795,52.76
52.71651833198253,52.74
52.68767366295846,52.19
52.254774081454045,53.05
53.02071464762115,51.4
51.44289971481921,50.9
50.99635459739746,50.88
50.841477110590155,50.11
50.13321086097794,50.59
50.58552571208239,49.27
49.299215583579425,48.11
48.21851359094291,47.98
47.97456148113022,47.17
47.176572278103436,47.97
47.94684196928007,48.77
48.682735853317276,48.53
48.546768698684446,47.11
47.21325366450955,45.25
45.37255068276513,45.75
45.728937015891496,45.13
45.088321955515546,44.69
44.74433843327839,43.87
43.90261774534786,44.94
44.89403792862275,43.11
43.14759117941956,43.22
43.296637520424746,42.27
42.25644088527656,42.45
42.469125665177856,41.93
41.921186365567536,42.58
42.5665002714346,40.75
40.808984132950776,41.0
41.05521585413617,40.45
40.41329728803318,38.22
38.35440678966125,39.15
39.142734853216254,38.5
38.43719610696984,42.47
42.31341297212182,45.29
45.02900298179079,49.2
49.07026580359456,45.38
45.55719060887209,46.3
46.46414799582868,46.75
46.59019864985935,46.02
46.07336796178886,45.92
45.95660169016964,44.13
44.20016891575374,45.85
45.80410771532967,44.75
44.710144312383235,44.07
44.18312718099997,44.58
44.5375985162499,47.12
46.95885606866682,46.93
46.8921166016997,44.71
44.90241195938162,46.67
46.620767884108524,46.17
46.07887686313794,44.53
44.68629189422148,44.94
44.94571872120111,45.55
45.45816220998252,44.4
44.45560556546778,45.24
45.2454200537576,45.06
45.01218207829388,44.75
44.79640511441304,45.54
45.501988450340534,46.28
46.21229436203417,48.53
48.42102371397969,47.86
47.85946484213492,49.46
49.464715622106915,49.67
49.59822355885674,47.09
47.26649235946978,46.7
46.79252582026791,46.63
46.563375974889325,46.38
46.38239749536728,47.3
47.25728363439489,45.91
45.94982618148909,45.84
45.907711100403354,45.22
45.2103457049973,44.9
44.92995402707525,43.91
43.9493939503426,43.19
43.24182023114556,43.21
43.19638192187948,45.93
45.768600795816646,46.02
45.94649186043702,46.6
46.652059693759554,46.12
46.13248591024255,47.88
47.820134901306794,46.32
46.340991221359644,45.27
45.41726281470893,44.32
44.347456644473766,43.87
43.88477895413141,44.23
44.194033361167214,42.95
42.99246953232475,41.74
41.84477556987443,40.69
40.73422767251103,41.68
41.619206521379176,40.73
40.72139363242601,40.75
40.80308123177226,40.55
40.530610348647556,39.39
39.45460791492947,39.27
39.298954421077354,40.89
40.77504549353361,41.22
41.158722794448316,40.57
40.64427324159697,40.43
40.46366635590763,40.58
40.55604833716173,39.93
39.95493973401575,41.08
41.04251935567417,40.0
40.00618759917799,37.64
37.822698444766644,37.46
37.4960732938211,37.16
37.107169952156745,36.76
36.782308919309116,35.65
35.707004286907186,36.31
36.29238574780621,37.32
37.21789913576579,35.55
35.634450428036786,34.98
35.08558246015826,34.72
34.693043267783864,34.55
34.54762355883958,36.12
36.03682510790033,36.76
36.682139439219696,37.62
37.60867478327557,36.36
36.42128872699035,37.88
37.861307381724224,36.59
36.578780219876684,37.13
37.181320949470894,36.81
36.77348675206105,35.97
36.037447931738846,33.97
34.08308523762645,33.29
33.34895886261779,33.2
33.16058866726819,31.42
31.491354263013875,30.42
30.511834717027728,30.42
30.38968503338488,31.22
31.148866310018377,29.45
29.519553464008673,28.47
28.588389030141737,26.68
26.739272935843555,29.55
29.41949262816764,32.07
31.817434809813324,30.31
30.41994554642696,29.54
29.70026576159849,32.32
32.146438192494394,33.21
33.06748327025981,33.66
33.69831832596179,31.62
31.736757276306076,29.9
30.053855832991793,32.29
32.156701549899815,31.63
31.546657132400952,30.86
30.988345241984778,29.71
29.769351535694494,27.96
28.055915513420505,27.54
27.57431022873317,26.19
26.21608603536955,29.32
29.18696887581049,29.05
28.939166489404275,30.68
30.696216980450668,30.77
30.714392631045577,29.59
29.694523724700105,31.37
31.31416583736549,31.84
31.733908021256916,30.35
30.465315710266026,31.4
31.400981055923616,31.65
31.56455725739629,32.74
32.709217419705666,34.39
34.285059170220784,34.57
34.54928141744809,34.56
34.60492439728033,35.91
35.84771498353301,37.9
37.76404490821095,36.67
36.7189863334273,37.62
37.66517336998919,37.77
37.69982385224638,38.51
38.497396822195505,37.2
37.25090284581607,36.32
36.421545342609974,38.43
38.3075985654004,40.17
39.99905847289351,39.47
39.52080184524946,39.91
39.95920932830244,41.45
41.33944910182527,38.28
38.41183622543689,38.14
38.28139949209092,37.99
37.90484738889779,36.91
36.964431090807054,36.91
36.93498247431038,36.94
36.90520013721119,35.36
35.43909381647886,34.3
34.39762308952039,34.52
34.488989785357646,37.74
37.53948562775711,37.3
37.23927668267742,39.74
39.72698311810452,40.46
40.344428187762006,42.12
42.092727357545954,41.7
41.69912891762941,41.45
41.524553698687576,40.4
40.44655196300422,39.74
39.79328309641707,40.88
40.80841526376521,42.72
42.577608032548866,43.18
43.14235005009175,42.76
42.8240411494033,41.67
41.74932633470463,42.52
42.49430256839136,45.29
45.09681155208105,46.03
45.94358471550265,45.98
46.044641472999096,44.75
44.83379550734528,43.65
43.736178481588944,43.77
43.75811735991724,44.33
44.26711980347001,44.58
44.555902665684584,43.45
43.51510062215437,44.68
44.657398509729475,46.21
46.06792867158297,46.64
46.61271778573608,46.22
46.27325255751405,47.72
47.67033664390374,48.29
48.208543752598004,48.12
48.15668068505369,48.16
48.179419323508355,47.67
47.687976924620976,48.12
48.1125198615377,48.04
48.01722944690133,49.1
49.06327076698413,49.0
48.97353595001223,49.36
49.37602446072207,49.1
49.10001295858212,49.07
49.08909531068714,49.14
49.12978959534854,48.69
48.70932665412025,49.71
49.67416722511776,50.37
50.29651145032469,51.23
51.199570303241494,50.52
50.55057394229881,49.09
49.204517802822835,48.89
48.91847206724404,48.49
48.47359710597592,47.92
47.95301306458411,46.14
46.23077093668238,48.0
47.94077817862418,49.4
49.22859335391051,48.95
48.98711819456562,49.16
49.20282113761109,49.34
49.312305595515504,46.7
46.83043034673969,45.8
45.92236285957205,47.93
47.774368634623706,49.85
49.670426641736086,48.27
48.352649969653065,49.02
49.084142291584676,46.73
46.776229772399674,47.37
47.42461175835909,45.22
45.24391117388177,45.37
45.44034063640414,44.73
44.69719211111357,46.82
46.73831715344159,44.87
44.89224451707791,45.64
45.71216575406225,45.93
45.84076072833615,45.23
45.278365106571115,44.64
44.69675851488343,44.96
44.94090703823611,43.96
43.98500033392624,43.41
43.473828772005724,42.4
42.43783995526947,42.16
42.18434382009183,41.9
41.891544210488654,41.13
41.168836274347086,41.54
41.53330575290089,40.05
40.09192106365256,39.5
39.579347154803344,40.8
40.70849040701299,41.92
41.81329506043903,41.83
41.83979481260601,43.06
43.032443959649,42.78
42.75789180707399,41.75
41.84327328560747,43.51
43.44242282244537,44.47
44.34476314966812,45.72
45.68085532834181,46.57
46.52087684630822,46.81
46.81020138460134,48.2
48.14885668634701,48.48
48.43543668208024,46.8
46.91480810645971,47.54
47.55702682318003,46.29
46.28443527792013,46.97
46.99077698419179,47.64
47.55293377109508,46.97
47.00447047086963,46.32
46.38946792889237,44.68
44.75999124000762,43.17
43.27012070051489,44.39
44.3242387328221,44.85
44.75160378745287,45.47
45.46110700072834,47.63
47.51996690682651,45.88
45.92580152535576,46.28
46.36843411158958,44.91
44.91857619587827,43.62
43.73189868090899,43.85
43.834594209663564,43.04
43.037511135944136,43.34
43.35324251588826,43.85
43.79379326729306,45.33
45.251560612823994,46.1
46.03693173651923,44.36
44.46697137028247,45.6
45.606759958148416,44.65
44.615292971018754,47.07
47.008185630175014,47.72
47.59719987356665,47.72
47.770125439974684,48.8
48.76436873247035,48.67
48.64807831319896,49.75
49.72982046448648,50.44
50.37368909570182,49.76
49.80621240702716,49.76
49.79728006904796,50.72
50.65293472870778,50.14
50.14368795808802,50.47
50.49589256323319,50.35
50.330940990296085,49.97
50.00145996687794,50.3
50.29011424666939,51.59
51.50618327596923,50.31
50.34938864973682,50.61
50.66522486867877,50.18
50.15751281573392,49.45
49.50638384233915,48.75
48.7920260901746,49.71
49.659708892107304,48.72
48.724618153787226,46.83
46.97804517943944,46.66
46.690266488012874,45.32
45.33721438600718,44.66
44.72296809971414,44.07
44.07795961319719,44.88
44.8361428457472,44.96
44.91798131219898,45.2
45.209157024119754,44.62
44.6449112868977,43.39
43.473156568461086,43.29
43.310497162226326,45.86
45.69987772458763,45.56
45.50414533578601,45.37
45.46040189105473,45.69
45.67055963947627,47.48
47.37710522470181,48.07
48.00241511279996,46.72
46.822032581372085,46.72
46.77281892649112,45.66
45.67449762262253,45.29
45.3365400664196,49.41
49.184817439947665,51.08
50.87615220252726,51.7
51.740794716990926,51.72
51.74933077978283,50.95
51.00437643573505,49.85
49.92479847551034,50.84
50.79976431039568,51.51
51.42006120726418,52.74
52.68951941763959,52.99
52.96342197032541,51.01
51.13352565036209,50.9
50.965825895198556,51.93
51.828393788038625,52.13
52.08915346792707,52.22
52.2384371913429,51.44
51.480966506729075,51.98
51.977448111188444,52.01
51.97245927337822,52.82
52.794483370306146,54.01
53.9309513952682,53.8
53.799959680053234,53.75
53.79071615756841,52.36
52.423201647862996,53.26
53.25264874142937,53.77
53.68284831951751,53.98
53.98027103413449,51.95
52.05686414429119,50.82
50.93605672922752,52.19
52.10016916801961,53.01
52.902000409394674,52.36
52.405291969455114,52.45
52.48567731101435,51.12
51.1647793036601,51.39
51.41624928022253,52.33
